,0
137658.0,3.7106894363340874
138232.0,3.7107004052619983
136629.0,3.7107004052619983
137103.0,3.7107004052619983
135765.0,3.7107004052619983
141536.0,3.7107004052619983
134247.0,3.7107182615651695
133667.0,3.710765579569361
140201.0,3.710765579569361
136280.0,3.710765579569361
134035.0,3.710765579569361
135694.0,3.7107807828788992
133221.0,3.7109188938816047
141278.0,3.7109188938816047
136713.0,3.7109188938816047
135869.0,3.7109188938816047
137140.0,3.7109188938816047
136640.0,3.7109188938816047
137592.0,3.7109188938816047
136631.0,3.7109188938816047
137597.0,3.7109188938816047
134031.0,3.7109188938816047
139482.0,3.7109188938816047
134345.0,3.7109188938816047
138241.0,3.7109188938816047
134246.0,3.7109188938816047
137588.0,3.7109188938816047
137424.0,3.7109188938816047
135838.0,3.7109188938816047
135240.0,3.7109188938816047
134289.0,3.7109188938816047
137680.0,3.7109188938816047
140185.0,3.7109188938816047
135807.0,3.7109188938816047
140145.0,3.7109188938816047
135759.0,3.7109188938816047
58438.0,3.7109188938816047
134856.0,3.7109188938816047
132930.0,3.7109840681889663
58432.0,3.7109840681889663
133665.0,3.7109840681889663
135771.0,3.7109840681889663
134872.0,3.7109840681889663
136307.0,3.7109840681889663
132561.0,3.7109840681889663
132572.0,3.7109840681889663
134291.0,3.7109840681889663
132939.0,3.7109840681889663
141819.0,3.711250974895303
132972.0,3.7113070277469298
136649.0,3.7113070277469298
139535.0,3.711536485294447
137086.0,3.711536485294447
141869.0,3.711536485294447
141866.0,3.711536485294447
136353.0,3.711536485294447
139495.0,3.711536485294447
135875.0,3.711536485294447
140122.0,3.711536485294447
134276.0,3.711536485294447
141562.0,3.711536485294447
135850.0,3.711536485294447
137282.0,3.711536485294447
58963.0,3.711536485294447
135172.0,3.711536485294447
134860.0,3.711536485294447
137150.0,3.711536485294447
141510.0,3.711536485294447
141788.0,3.711536485294447
136326.0,3.711536485294447
140205.0,3.711536485294447
137158.0,3.711536485294447
138275.0,3.711536485294447
139561.0,3.711536485294447
133715.0,3.711536485294447
136309.0,3.711536485294447
136330.0,3.711536485294447
136651.0,3.711536485294447
139558.0,3.711536485294447
140189.0,3.711536485294447
135190.0,3.711536485294447
141849.0,3.711536485294447
135702.0,3.711536485294447
141300.0,3.711536485294447
133552.0,3.711536485294447
133706.0,3.7116016596018087
139491.0,3.7116016596018087
132343.0,3.7116016596018087
45670.0,3.7116016596018087
138222.0,3.7116556281811324
141293.0,3.7117549739140525
140869.0,3.7117549739140525
133641.0,3.711794189928578
133981.0,3.711820148221414
137087.0,3.711827335305161
136632.0,3.711883388156788
134873.0,3.7118850857286496
134324.0,3.7118850857286496
138248.0,3.7118850857286496
138287.0,3.7118850857286496
133664.0,3.7119278004654754
141493.0,3.7119838533171023
140139.0,3.712103574348256
133273.0,3.712112845704305
135824.0,3.712112845704305
138706.0,3.712112845704305
137134.0,3.712112845704305
55734.0,3.712112845704305
135773.0,3.712112845704305
135218.0,3.712112845704305
141540.0,3.7121602154664357
134908.0,3.7121780200116667
133244.0,3.7121780200116667
137144.0,3.7122631536554036
138243.0,3.71231920650703
134281.0,3.7123313343239106
135797.0,3.7124614461385086
136699.0,3.7125112249145324
135235.0,3.7125266204458702
136671.0,3.712576511356846
133694.0,3.712576511356846
137171.0,3.7126014447299447
134871.0,3.712605336587928
141241.0,3.7126302699610267
