,5,17,16,7,10,4,11,15,13,9,12,19,2,6,14,8,0,18,3,1
0,55805,34683,21282,51375,48685,24921,4788,34897,25509,10075,327814,3209,20875,6752,42313,24877,17579,49472,33983,50825
1,42298,38229,15802,3215,24634,9198,56740,15703,3491,4787,48252,8767,6057,8680,3249,41897,39568,57760,12426,29321
2,209465,58328,51225,3352,327687,52048,49560,36926,15133,3462,328228,8412,2107,24757,5603,21299,202090,12252,12709,39790
3,203512,35444,206610,7642,61327,49800,199128,37002,48292,132199,206008,25192,264608,8551,199071,12993,198288,197686,37693,204064
4,60258,25180,1547,378,27833,42610,13194,44217,8670,8151,198524,20473,16010,4760,6661,199103,60631,44735,11664,56427
5,24589,42642,8422,12008,52455,8427,49624,29222,9038,37537,17408,12322,12778,57187,59861,39007,45899,12783,25019,NaN
6,34296,50973,8560,47331,27882,35807,14061,58369,42207,15964,28099,42431,22894,202536,25106,201860,25532,49036,12605,NaN
7,33922,49254,48362,43571,56635,202164,22773,45935,13004,37187,8048,15943,61468,13122,2602,21211,134285,202130,12793,NaN
8,44377,37282,61438,6830,58475,50448,39216,23862,9146,4434,278,39310,12812,8285,12400,58322,57722,62024,42729,NaN
9,51346,9121,43561,14988,8053,49673,15600,17884,43289,17639,5692,20764,263779,27651,6697,61094,209045,203752,8262,NaN
10,44369,208905,58057,2200,29286,12768,1241,45090,200129,24550,38077,3326,135132,34362,16333,204467,55933,50543,47697,NaN
11,35753,199244,34549,50710,42455,8985,63949,17552,8758,18403,7908,56639,24173,1257,1680,56568,51495,8559,25374,NaN
12,48275,37532,680,2860,9471,57843,25255,39891,199159,3605,24016,NaN,133802,6400,3327,44244,38182,43541,198161,NaN
13,21351,2470,25220,7018,29405,48293,212567,132400,51859,131749,27883,NaN,45204,21183,6855,49711,41620,204957,28972,NaN
14,55699,29385,553,55836,197692,31200,9031,10310,16276,7727,267797,NaN,16814,3212,15962,47623,264679,205535,29086,NaN
15,56681,35328,42184,5089,44647,29124,29580,4800,202196,29032,264744,NaN,38158,31012,12757,43754,202468,9063,50163,NaN
16,9125,61211,60316,4739,27947,42765,8717,28683,29169,328162,43019,NaN,24651,208520,2607,8540,50242,20810,25424,NaN
17,198330,7713,25291,38195,12849,15886,35141,137431,396982,7470,55350,NaN,37577,1886,196948,35492,23969,29014,197029,NaN
18,197119,208425,196819,2611,36884,44050,15669,2722,1764,812,37420,NaN,21050,44558,8400,8445,135755,8937,199101,NaN
19,38968,49402,20686,47377,6677,57214,198127,10753,48943,37705,37645,NaN,133800,39863,2588,49808,47237,196610,208942,NaN
20,49688,37061,35258,31250,52341,34602,12620,23031,1120,9299,25543,NaN,42781,327798,44549,58079,33763,28876,47447,NaN
21,14080,12735,5539,3245,1967,44941,51873,48979,39878,55392,263689,NaN,56055,9930,5479,51395,17726,206339,47992,NaN
22,202652,43260,3257,5769,202632,206066,198249,36290,199610,1237,33582,NaN,11193,23881,8240,201155,43232,64475,31317,NaN
23,44185,198561,197540,701,205961,8331,6659,60288,9268,3597,27790,NaN,8781,21277,15815,15576,135377,20755,206313,NaN
24,206718,8887,203329,3265,61449,48276,34936,11172,39923,271885,14117,NaN,27831,198183,34347,12570,6453,49225,8823,NaN
25,12975,41828,198570,33988,9051,39153,1273,7506,212882,50195,7418,NaN,7590,31204,8437,35613,12969,56912,58243,NaN
26,198095,12508,44066,21175,33771,41034,201701,328381,1403,14754,35819,NaN,62513,15994,31510,31461,20634,12316,15830,NaN
27,210278,41424,8391,48146,61102,43321,29551,55960,61174,5786,4837,NaN,16509,20545,39837,203228,205893,202077,41723,NaN
28,200914,25455,48821,50620,27747,51035,34953,137153,205678,37090,4134,NaN,58717,27901,9070,5409,133752,200486,41451,NaN
29,31394,133809,39702,15557,34772,206845,48200,15924,210036,9534,27668,NaN,27678,37100,62418,20849,37154,12843,44974,NaN
30,25447,44234,202040,5410,207036,34574,8365,39526,50170,55536,4750,NaN,265721,8661,3303,16097,31898,200801,47304,NaN
31,40980,327821,205614,2259,9009,8674,198726,21859,2613,56040,4812,NaN,133481,37513,58299,62023,51698,12886,42885,NaN
32,41437,37153,20647,201080,49163,12773,8489,9370,41495,17456,27796,NaN,263777,15399,1836,15366,209974,200924,43016,NaN
33,62098,51265,200462,57752,28857,41710,199938,327724,39533,4538,6568,NaN,264605,197706,21466,20561,47196,205046,51935,NaN
34,31029,43957,207306,8228,36492,44539,35833,13121,62310,18822,198290,NaN,266858,15836,41872,34568,57169,204052,50585,NaN
35,60016,43848,8893,39405,62276,25133,48344,36905,34878,64116,9318,NaN,9785,8226,15716,29413,209553,28979,57199,NaN
36,50277,39555,44973,197696,137576,62360,51862,37136,56357,8466,262913,NaN,60924,327831,9044,57154,21079,29140,50810,NaN
37,44002,29287,9158,30781,24516,NaN,35368,135262,42699,132905,22927,NaN,132167,13046,2852,21476,206228,16202,49100,NaN
38,204332,39560,197288,15401,25428,NaN,9188,135421,29670,24399,204170,NaN,37578,60304,24971,20677,49432,21413,48359,NaN
39,199803,35369,59795,8218,201887,NaN,203520,209700,48854,52362,5416,NaN,37386,199484,48926,42442,134697,208183,62173,NaN
40,203488,9166,20766,39931,35593,NaN,24679,42003,207934,1797,9329,NaN,45345,1267,39392,21385,139002,29624,202975,NaN
41,202657,34762,12303,24776,64478,NaN,28748,270014,13041,24390,8376,NaN,45170,16125,29208,61343,50857,205206,201367,NaN
42,50971,5488,207141,20900,204232,NaN,39835,201924,30798,11830,28073,NaN,55430,34594,5588,34372,52697,204274,21309,NaN
43,34093,9208,44531,2856,48155,NaN,31027,17055,204092,10098,27843,NaN,12876,205818,13101,59752,8167,33796,203201,NaN
44,43507,202463,41327,31712,52694,NaN,12479,31143,34019,49604,269923,NaN,9498,37009,9145,198452,40864,43382,202870,NaN
45,25579,20657,41364,25376,28330,NaN,12430,17623,39180,7303,20776,NaN,1653,30971,6805,60111,33185,35382,20504,NaN
