,0,1,2,3,4,5,6,7,8,9
99,201430,201430,61297,201430,213230,201430,213230,17055,213230,201430
100,2552,2552,201430,2552,17055,213230,60288,60288,16796,2552
101,213230,213230,213230,213230,139994,16796,17055,139994,17055,213230
102,16796,16796,16796,16796,14383,17055,20794,39910,139994,16796
103,17055,17055,17055,17055,198290,139994,139994,14383,37123,17055
104,139994,139994,139994,139994,39542,14383,269923,20794,14383,139994
105,14383,14383,14383,14383,37963,37123,31549,37963,37963,14383
106,25543,25543,20794,25543,16796,37963,14383,16796,60288,25543
107,37963,37963,25543,37963,44647,49920,25543,17623,20794,37963
108,60288,60288,60288,60288,269923,17623,16796,31549,269923,60288
109,44647,20794,37963,44647,49920,31549,140726,271354,49920,20794
110,269923,44647,44647,269923,17623,20794,17623,49920,17623,44647
111,20794,269923,49920,20794,31549,271354,49920,269923,31549,269923
112,49920,49920,269923,49920,20794,16232,271354,16232,16232,49920
113,17623,17623,17623,17623,16232,35913,37963,52075,35913,17623
114,31549,31549,31549,31549,35913,52075,16232,35913,52075,31549
115,16232,16232,16232,16232,52075,269923,52075,54390,37236,16232
116,35913,35913,35913,35913,37236,37236,37236,37236,4785,35913
117,52075,52075,52075,52075,4785,4785,35913,4785,19331,52075
118,37236,37236,37236,37236,19331,19331,197204,19331,60976,37236
119,4785,4785,4785,4785,60976,60976,44647,60976,29497,4785
120,19331,19331,19331,19331,29497,397168,4785,29497,7896,19331
121,60976,60976,60976,60976,7896,29497,19331,7896,399924,60976
122,29497,29497,29497,29497,60288,60288,60976,399924,397168,29497
123,7896,7896,7896,7896,399924,7896,29497,397168,134351,7896
124,399924,399924,399924,399924,134351,399924,7896,44647,54390,399924
125,397168,397168,397168,397168,4780,54390,399924,134351,4780,397168
126,134351,134351,134351,134351,9905,134351,397168,4780,9905,134351
127,271354,4780,37074,271354,25543,4780,27883,9905,37074,4780
128,4780,9905,4780,4780,27883,9905,134351,48440,48440,9905
129,9905,27883,9905,9905,37074,37074,4780,33962,33962,37074
130,27883,48440,48440,27883,48440,48440,9905,37074,10310,27883
131,48440,33962,33962,48440,397168,33962,37074,25543,271354,48440
132,37074,37074,2552,37074,33962,2552,48440,2552,27883,33962
133,33962,10310,10310,33962,10310,10310,33962,10310,134877,10310
134,10310,134877,37336,10310,134877,134877,10310,134877,44647,134877
135,134877,140726,134877,134877,140726,44647,2552,27883,140726,140726
136,140726,37336,140726,140726,37336,140726,134877,140726,49734,271354
137,37336,49734,49734,37336,49734,49734,37336,49734,27611,37336
138,49734,27611,27611,49734,27611,27611,49734,27611,39910,49734
139,27611,54390,39910,27611,271354,39910,27611,9123,37336,27611
140,54390,271354,54390,54390,39910,37336,9123,37336,9123,54390
141,39910,39910,9123,39910,9123,9123,30938,16246,55990,39910
142,9123,9123,55990,9123,55990,46997,16246,55990,16246,9123
143,55990,55990,16246,55990,16246,55990,55990,23862,46997,55990
144,16246,16246,271354,16246,30938,16246,200386,57935,30938,16246
145,30938,30938,30938,30938,9367,9367,57935,9367,9367,30938
146,9367,200386,57935,9367,200386,57935,23862,200386,57935,9367
147,200386,57935,9367,200386,57935,23862,9367,136988,23862,200386
148,57935,23862,200386,57935,23862,136988,136988,21040,136988,57935
149,23862,136988,23862,23862,136988,21040,21040,17884,21040,23862
150,136988,21040,136988,136988,21040,17884,17884,63199,17884,136988
151,21040,17884,21040,21040,17884,63199,63199,30938,63199,21040
152,17884,63199,17884,17884,63199,5692,12847,12847,12847,17884
153,63199,12847,63199,63199,12847,12847,5692,5692,5692,63199
154,12847,5692,12847,12847,5692,30938,27411,27411,27411,12847
155,5692,9367,5692,5692,27411,27411,200334,200334,200334,5692
156,27411,27411,27411,27411,200334,200334,7684,202242,7684,27411
157,200334,200334,200334,200334,7684,27272,202242,50979,202242,200334
158,7684,7684,7684,7684,54390,7684,7470,206813,50979,7684
159,202242,202242,202242,202242,202242,202242,50979,44651,206813,202242
160,50979,50979,50979,50979,50979,50979,206813,7684,27272,50979
161,206813,206813,206813,206813,206813,206813,44651,138562,7470,206813
162,138562,7470,44651,7470,138562,200386,138562,3816,200386,7470
163,27272,138562,138562,138562,27272,138562,27272,27272,44651,138562
164,7470,27272,27272,27272,6364,44651,44776,6364,138562,27272
165,46997,6364,6364,46997,18809,6364,33876,44776,6364,6364
166,6364,18809,18809,6364,203591,18809,3816,18809,18809,18809
167,18809,203591,203591,18809,7470,203591,6364,203591,203591,203591
168,203591,33876,7470,203591,33876,133736,18809,25,25,33876
169,33876,25,33876,33876,25,25,203591,17551,33876,25
170,25,44651,25,25,133736,56981,17551,59622,17551,44651
171,44651,133736,17551,44651,56981,803,59622,33876,133736,133736
172,133736,56981,44776,133736,803,3816,25,56981,56981,56981
173,56981,803,133736,56981,3816,9370,57084,133736,803,803
174,803,3816,56981,803,9370,44776,56981,60707,3816,3816
175,3816,9370,803,3816,60707,60707,133736,803,44776,9370
176,9370,44776,3816,9370,44776,17551,9370,26347,9370,60707
177,44776,60707,9370,44776,26347,33876,60707,57084,60707,17551
178,60707,17551,60707,60707,44651,57084,34897,9600,57084,44776
179,17551,26347,26347,17551,49745,26347,803,9370,26347,26347
180,26347,49404,49745,26347,59622,49745,26347,34897,49745,49745
181,49404,49745,59622,49404,17551,49404,49745,49745,63018,59622
182,49745,63018,63018,49745,63018,63018,9600,31337,29222,63018
183,63018,59622,29222,63018,29222,29222,31337,22799,22799,29222
184,59622,29222,22799,59622,22799,22799,48979,208808,49404,22799
185,29222,22799,49404,29222,208808,208808,63018,395214,208808,208808
186,22799,208808,208808,22799,395214,395214,22799,207790,395214,395214
187,208808,395214,395214,208808,9600,9600,208808,4851,207790,9600
188,395214,9600,9600,395214,207790,207790,395214,48979,9600,207790
189,9600,207790,207790,9600,4851,34897,207790,63018,34897,4851
190,207790,4851,4851,207790,34897,4851,198060,198060,4851,49404
191,4851,34897,34897,4851,48979,48979,4851,29222,48979,34897
192,34897,48979,198060,34897,30633,198060,49404,49404,198060,48979
193,48979,30633,48979,48979,48635,27725,29222,30633,30633,30633
194,30633,48635,30633,30633,49404,30633,16735,48635,12119,48635
195,48635,57084,12119,48635,327741,48635,30633,4837,48635,10881
196,57084,12119,48635,57084,135262,59622,48635,10838,59622,12119
197,10881,327741,57084,10881,14813,12119,10838,135262,4837,327741
198,12119,135262,327741,12119,36959,10838,4837,27725,135262,135262
199,327741,14813,135262,327741,27770,135262,327741,10881,14813,57084
200,135262,36959,10838,135262,47110,5786,135262,14813,36959,14813
201,14813,27770,5786,14813,57049,36959,27725,12119,27770,36959
