,0,1,2,3,4,5,6,7,8,9
99,14618,15704,1901,10838,7122,206177,28685,8632,4538,15802
100,42560,199554,8487,51859,3842,264679,29802,34790,205790,1741
101,47623,21021,48161,6855,21021,28875,20798,57456,58351,34244
102,43442,16,5524,5645,5786,7247,37520,396982,57084,20900
103,15267,24516,45090,327794,15600,200924,10279,34643,104,34643
104,42669,12496,25151,205112,59125,31122,20647,8468,35699,8311
105,42184,62365,39650,12586,28792,7795,41354,48200,12414,2510
106,24680,12993,31213,62282,24921,44507,21453,21453,29124,21283
107,43542,62538,64112,48747,34187,38796,131937,52431,198657,29125
108,60294,29086,44424,197019,47834,29314,197046,199803,719,50825
109,37074,12714,39310,4538,4837,34911,20473,28685,9367,8767
110,16637,28728,47889,136360,44494,207002,57342,64073,28876,29008
111,210140,1680,205515,51164,31143,203937,206012,23242,8271,211083
112,41103,37513,30892,9498,49604,207841,35393,49941,25472,4616
113,55350,15267,264744,9430,50810,5617,17465,2568,395400,32899
114,57695,43950,203231,42961,19016,25019,8879,53169,36236,35426
115,5539,197095,21413,47474,200043,13969,47524,24603,31242,199468
116,42819,48293,42132,41668,28891,56534,43966,39153,16300,12480
117,199803,17819,327707,31148,62336,135150,38064,23523,29134,62282
118,6848,204957,205535,57728,196687,2119,200114,204332,3209,42189
119,10838,35574,15943,7420,36926,12767,43996,58224,44030,62275
120,208814,47283,137431,39555,35369,203315,34554,16232,198864,50877
121,29405,50994,208332,62432,196890,51728,208764,202391,209045,197765
122,45475,9166,30997,63834,266858,10094,20055,6871,36909,131749
123,17623,55785,27770,37670,8308,15798,27668,46303,132796,197269
124,5505,48943,25180,6724,4755,13041,197540,16363,12479,12390
125,56639,29632,12874,2259,207995,27668,5650,206065,3292,12556
126,206066,3327,34574,61111,43478,51035,41843,57227,25381,48359
127,34393,25159,6058,31042,44244,17552,10013,7122,48661,31036
128,34936,202605,43507,25248,197046,34779,56427,5610,61157,25424
129,23523,15943,51468,46997,7420,35613,56478,29084,37074,20473
130,21859,8330,58328,31736,4434,197448,6881,12252,51392,36884
131,42518,2852,42708,204796,9135,35158,58340,12912,201822,35063
132,131995,237,18822,2110,19528,198736,262178,10131,57119,327687
133,18663,37670,26830,131743,49808,44973,7506,12222,4134,10131
134,207176,51561,12496,61958,27879,37693,1836,2486,2200,1101
135,197095,42442,39138,23855,34612,24164,41405,206313,48747,44651
136,60162,8728,12773,5467,43321,34574,39435,24955,12555,6703
137,200155,134220,28573,206479,12322,37002,7514,14430,57728,49505
138,8764,199101,34093,15962,197029,35574,197318,42000,24586,208712
139,8048,16302,24586,20794,25429,25192,51184,33915,36926,3209
140,39555,197331,134351,6939,61174,64238,15955,28728,201814,44735
141,59970,50289,15456,6876,41585,211083,41585,12757,45005,60767
142,32,52362,23752,199468,10075,133800,41103,12276,11232,11776
143,204170,132933,45820,3596,35003,12346,1289,23719,28768,135629
144,53184,2914,39605,12941,27883,1850,21473,20965,35833,39405
145,199412,198249,553,12628,37100,26793,1103,210103,50324,17356
146,60415,50449,47764,47764,39578,57214,42148,48511,43321,206065
147,43413,263777,27733,13045,12793,28109,19397,37074,44712,56649
148,62275,44002,8251,8251,50163,8866,198161,30764,199524,48417
149,48112,3209,202422,37336,681,48661,41998,56478,10838,13045
150,35227,15401,15368,209700,207036,41495,57469,51806,207992,41771
151,31017,198930,35731,204754,48437,207671,203687,60876,42673,42695
152,7828,13319,63848,262178,38064,16509,208590,328114,10796,16353
153,42615,264744,7850,39891,50585,207306,3676,140726,328228,23719
154,43655,203623,28792,199846,24164,11492,29413,57752,12586,34612
155,42442,21283,48152,31708,209,55350,29396,8262,8365,63771
156,42610,49505,204671,208627,8515,25515,12695,24921,42132,31287
157,44002,45345,10753,45009,43942,9367,16,2510,28972,39028
158,51468,13036,48661,43507,205535,35320,28905,39392,24904,12767
159,398355,42652,39608,35558,199256,29504,6848,60840,10753,8632
160,197669,20860,197706,6364,11317,262691,36290,395214,207642,206484
161,39912,35063,208006,50247,51929,57963,49601,208006,20555,200519
162,37187,327750,133802,5738,40098,36874,132905,203457,17501,4844
163,27833,24164,58765,17804,62023,20677,30938,27790,21565,53006
164,43950,15542,200434,48821,18196,51495,12874,6677,3262,199389
165,43341,21413,3333,199188,9268,42120,31898,198726,57214,37054
166,57128,196638,48089,49866,8641,51836,39087,44507,198068,29551
167,31246,14430,56099,8767,62275,5692,2527,14618,28851,31214
168,13188,34393,198657,25424,206177,8767,29134,29321,20904,8251
169,54412,39608,56622,4837,196621,44712,60294,1901,397168,58224
170,198260,9829,59775,5379,44431,15457,18809,13110,3912,23951
171,48956,60396,8788,205891,43557,207790,197809,39862,34525,16202
172,11215,15826,45170,398355,11426,48294,6373,16591,2907,395748
173,55960,26347,12231,262239,39257,680,207036,4809,27833,63848
174,33988,852,2200,12897,13728,8676,21161,50903,41095,3333
175,39310,201860,41009,51375,51375,2500,37693,34372,680,19397
176,43478,51346,57571,42610,41668,50448,201588,15930,48089,34549
177,28972,199256,15964,15943,20880,8522,8916,397168,35613,57044
178,20845,42908,50971,39790,197318,12322,42908,206420,44303,43708
179,25543,43754,8881,18199,60288,28905,2119,15704,25543,62173
180,47165,39093,22438,201494,60409,35444,35444,39910,17726,133159
181,206228,38949,34081,199150,49775,8559,57760,49974,205515,8788
182,22742,6871,21699,50348,9500,16591,34749,20815,49604,7642
183,12231,18196,39762,131749,35258,49100,38220,6905,20255,23523
184,37693,42612,208261,35378,44647,29527,198570,9008,11845,2611
185,201367,43350,56665,8362,2818,38926,11664,51873,6724,37336
186,34533,49675,59494,44943,12543,48089,28891,57503,196847,39310
187,197029,35518,3549,8866,42473,45906,12119,27017,48417,51819
188,20473,57069,29086,204064,43709,15943,206420,200635,51515,42306
189,57929,56478,25291,25543,60983,57707,42610,8764,51773,33915
190,13489,1835,37136,57558,39602,29317,9829,16735,199554,24764
191,39857,59665,197686,57963,25579,197892,199995,20773,60767,33823
192,43081,10094,27651,28109,24806,9785,12826,45671,3927,6597
193,6453,26610,56166,11708,9145,8283,132796,327900,17465,393522
194,37680,39180,49784,42669,135756,3265,198228,16668,4713,3352
195,62023,57497,5409,34695,41589,45355,9008,203201,8717,271354
196,196847,8641,59861,49828,49828,201776,3216,43321,5468,50629
197,25512,198060,57084,44045,199524,8916,197732,16,197046,13189
198,39608,21430,15614,49931,43541,33915,206177,43708,15788,25192
199,11815,3326,60294,44030,23523,8251,33915,719,8916,61157
200,25412,48072,34660,139994,30041,1267,51124,210329,53667,47377
201,60767,197301,39216,35323,3303,206314,17117,28773,206718,60042
202,18881,63056,24560,21396,4128,239,23655,19750,6181,327844
203,393275,17625,28330,17072,52000,13032,12629,199064,13490,41881
204,31493,200129,5631,44034,263689,24776,34953,1200,42831,3269
205,8788,45009,21473,16668,198721,15108,5607,29632,59507,14618
206,12555,41275,49403,48503,8985,49800,49377,12668,50448,42885
207,29504,56055,199256,31317,35320,29032,4766,3597,43709,33837
208,3209,43709,196687,48417,56427,16302,196687,57069,12322,198657
209,196621,41998,16347,44776,31424,50971,58224,24689,60983,58057
210,51810,22122,47227,12975,34960,27411,49272,21859,6867,4800
211,16331,51728,61189,41424,58313,25374,198415,198611,42717,24589
212,4,6128,22742,3597,37084,60426,10961,12333,6407,16409
213,263703,34643,38926,4697,24603,44285,39762,131269,2549,200386
