,0,1,2,3,4,5,6,7,8,9
0,1000516,1001126,1002411,1002970,1001792,1002392,1001751,1001204,1003240,1002296
1,54558,54349,55358,55635,54374,1000048,53427,54480,1000536,1001815
2,51868,35296,52585,52141,24649,50846,51975,32332,25029,51025
3,34992,53580,51160,50765,52673,35517,12786,13159,13819,34494
4,6986,33786,28123,18984,33763,52821,53729,16108,13432,4111
5,53684,11816,4697,21842,2566,25968,33287,25210,19719,53536
6,17925,28572,30068,2566,30475,6925,4848,53010,53321,12729
7,6227,17846,52972,32042,10377,713,25072,31554,34168,24171
8,10491,328,14038,10819,18735,10924,13444,20102,51554,20672
9,20008,13054,13494,37,13444,2075,6430,6921,20617,2901
10,27927,6681,845,13081,3811,22916,20326,6354,6405,1136
11,6111,18110,19793,22558,21350,26492,29529,916,784,28965
12,22320,6694,4216,50689,29376,15777,10718,15606,27914,4216
13,28973,32696,29653,32511,16667,621,24077,22898,3963,29584
14,24192,31863,13467,22981,2341,20499,21954,1001761,31769,32930
15,12142,10826,12298,31525,14740,22963,19032,1001670,30807,32511
16,15128,16991,1002994,1001914,1001020,986,1001278,1268,14596,18089
17,52343,1001007,1001673,1001330,1001694,1002993,1001330,30203,1001906,3131
18,1001850,1001732,1001378,11765,1001993,1001273,1002052,16071,1001288,1001691
19,1001698,1001849,1001039,1001026,27728,1001274,26934,1001024,1001254,1001976
20,1002108,1001523,1003038,1003179,1001463,1000945,1002821,1000416,1001738,1001968
21,54776,53839,1001438,54508,1000812,1001183,54978,54566,55617,1000613
22,52083,52650,33011,35102,32262,33985,31228,32659,51355,30677
23,34775,53146,32855,52461,52521,32330,6804,20752,16061,34979
24,14876,50240,33466,6641,30982,53116,51899,10180,14699,6469
25,51995,24893,881,28315,6858,24400,34696,27903,22293,53761
26,29086,25486,24157,4649,28612,24639,2138,52839,52326,12884
27,1205,16063,54509,33800,307,6332,21323,50339,32719,23236
28,1189,6674,14536,14968,15464,12462,15087,23268,50603,17297
29,23218,14267,11471,3887,6963,6775,2920,3283,16288,6717
30,30721,6341,6698,12733,4884,23930,17705,6692,3680,6452
31,480,18392,19767,20882,19044,29704,31103,6956,37,25313
32,24196,2707,924,35600,26955,6930,12501,16667,26353,3639
33,24539,29607,33580,13958,22118,3891,29994,20047,6826,29712
34,32869,14340,23948,19373,33240,1280,4243,1001832,29584,2623
35,17566,21421,2536,29770,3282,31525,21991,1001691,16020,12308
36,14894,32070,1001997,1001761,1001260,17212,28492,17025,4740,11177
37,1001011,1001272,1001850,1001283,1001732,1001900,1001692,24584,1001735,52343
38,1001847,1001689,1001671,33646,1002402,1001726,1001993,13681,1001710,1001663
39,1001762,1001981,1000998,1001042,20913,1001043,29383,1001258,1001009,1002891
40,1002469,1001194,53436,52166,10095,1003272,1002783,1002580,1002793,1002527
41,55291,54683,1000981,53455,1000339,1001358,55423,1000541,1000107,55311
42,53163,32659,53683,50346,51958,33022,30045,51095,27636,34223
43,34674,54305,34035,52129,53195,32658,11522,12932,125,51077
44,14716,35625,30716,6444,32042,53031,53842,14291,11125,17758
45,51873,24275,4444,28037,6299,29523,33560,28813,21998,52694
46,29183,28386,31065,6266,27387,13711,6708,53004,53016,14038
47,2143,19926,53699,29645,21003,71,24856,50611,33410,29277
48,11602,4910,11260,12018,14691,13397,11340,19313,51924,18422
49,17833,15226,6870,617,12602,3561,4498,4314,22101,6427
50,32327,2016,10357,11525,6232,21965,23314,6128,3682,32
51,6538,16304,21609,18894,19242,31065,29979,6750,2416,28729
52,19668,3885,3288,34753,32577,13251,13321,11059,26271,617
53,33518,28933,33622,23170,21425,4580,24886,29438,608,28296
54,33250,18915,15734,15128,3291,4533,17250,1001981,31881,16973
55,23886,1326,10250,25078,15734,17209,1268,1001710,16978,17058
56,3906,32317,1001905,1001906,27102,20233,28580,12800,3156,2947
57,1001289,1001073,1001721,1001715,1001330,1002048,1001763,32052,1002054,1001037
58,1001834,1001711,1001256,33004,1001976,1001727,1002990,3649,1001287,1001380
59,1001379,1001932,32589,16100,33065,21580,27728,1001042,1001018,1002997
60,1002177,1002897,1002698,1003142,1002507,1002845,1000646,1002112,1003127,1003172
61,1001034,1001595,1000367,1000938,54824,54491,54475,1000465,54684,54079
62,50321,33733,50393,25250,29133,25195,34680,51521,29644,19417
63,35037,53219,34453,51906,52133,32383,3457,1123,15039,51165
64,13492,32712,26904,10576,33835,52570,52740,12066,10154,2367
65,51260,11297,341,28417,6655,19815,31778,25746,20600,53535
66,31656,29215,25818,452,23993,19430,1501,53207,53764,11270
67,3326,20741,52544,32107,11297,4165,25312,33670,35582,28667
68,11163,407,16494,10982,13215,10940,11433,18817,35670,23764
69,24345,6911,10281,1344,13200,6660,1370,6666,18321,2351
70,24811,6859,7016,11451,2183,24592,21352,6662,6817,6980
71,1505,22950,21932,22068,20004,29277,24748,4943,1316,28895
72,19328,4597,4513,29323,31191,13604,11148,30644,27932,3780
73,32610,27792,29994,27255,6272,7006,24040,24343,233,25341
74,29711,16859,17174,905,3351,14694,22055,1002992,20605,11632
75,19419,16505,16505,31963,30402,32525,20291,1001718,24470,28607
76,14892,13040,1003006,1001831,1001035,30960,1001073,11828,16665,14596
77,4194,54112,1001734,1001333,1001370,1001927,1001691,28493,1001932,1000438
78,1001927,1001664,1001047,3756,1002991,1001287,1001931,23840,1001721,1001698
79,1001736,1002403,52516,28580,3756,1001035,31988,1001018,1000312,1002058
80,1002153,1000748,1002789,1002887,32397,1003118,1002271,1002741,1002633,1002658
81,55001,1000014,1000765,55661,1000485,54586,54550,55689,1000004,54873
82,35735,33320,32316,34344,52601,51663,23508,26147,28639,50189
83,50943,53211,50270,52557,52035,32197,19966,14832,12686,50658
84,12927,35573,21610,13253,50622,52393,52477,10152,12701,13244
85,52256,28226,6609,25512,6254,22125,33735,25717,21048,51403
86,15616,28879,27360,814,22711,14672,4367,51984,53969,7024
87,6842,11877,52746,32685,2592,1269,22037,51522,32638,23993
88,3600,4613,16736,16827,14213,18430,14876,20197,51473,17529
89,21565,13492,13824,975,12750,596,2758,3102,20128,3283
90,26722,6734,6873,10215,3009,19846,18418,6633,6603,6425
91,6854,21568,21662,21313,19206,28289,24089,4978,720,25718
92,16701,4135,6307,33426,30764,13248,11058,3011,23635,3812
93,33871,33896,22098,15269,17291,6518,32032,12438,6686,29703
94,30807,23886,2273,4876,21394,4243,21425,1002061,32290,14035
95,12438,22054,16665,12449,17397,29770,30026,1001664,22210,21536
96,12239,16146,1001976,1001832,1001287,32173,1001029,17078,3327,159
97,1001284,1001004,1001842,1001378,1001711,1001901,1001735,31879,1001927,1001259
98,1001827,1001691,1001284,26429,1001854,1001721,1001991,33065,1001377,1001379
99,1001697,1002053,1001021,4194,16776,3131,51703,1000431,52343,1001931
100,1000785,1002933,1002540,1002362,1002780,1003120,1002725,1002749,1002404,1003197
101,53977,54915,55335,54659,54309,54724,54220,54635,55654,55340
102,33021,27558,35759,51438,19917,53082,24883,50789,22530,35730
103,50428,51265,50689,51151,53215,33920,11202,22873,19609,51062
104,10890,34107,18149,17124,32939,53548,51426,16144,15747,12895
105,52729,14042,20,25025,3263,26928,33832,26911,25043,52216
106,17474,22339,26957,4238,26913,10399,1447,52699,53666,14256
107,1342,18321,54397,32855,12402,6392,22874,34050,30874,21359
108,13711,6591,15313,14772,22785,12344,16884,18858,51512,18544
109,20342,11275,16841,3060,10535,6790,3379,6872,22181,3063
110,31112,6927,13681,11150,833,21609,19684,6725,6993,6406
111,10654,18566,23474,25270,22184,25313,29226,6330,3763,30419
112,21795,6504,378,31191,29214,14341,12823,22092,25331,3297
113,33522,29665,30717,24936,11974,1330,28973,31863,3267,22533
114,14740,24343,32930,3156,16859,16555,21421,1001912,29714,29310
115,21347,382,3333,11950,17214,12360,13467,1001663,16801,15641
116,4533,439,1001996,1001828,1001264,12142,16100,16978,11069,19373
117,1001281,1001273,1001744,1001704,1001373,1001858,1001385,50202,1002995,1001271
118,1002061,1001383,1001282,33625,1001915,1001697,1001996,10399,1001686,1001709
119,1001702,1001857,25438,3178,34275,1001026,32704,1001039,1001024,1001925
120,1002668,1002262,1002481,1003247,1002434,55842,1002444,1003031,1002915,54617
121,54621,1000890,55643,55723,1001414,1001197,54182,54525,53762,55560
122,50216,33649,52257,28717,35457,52185,31111,52059,34062,32670
123,32446,53535,35243,52991,51471,50033,2829,18312,390,32401
124,11570,32330,25206,6891,31721,53833,53367,11212,15969,10905
125,54490,13283,6670,26383,2016,20795,32703,30109,28516,53886
126,4274,26290,30484,2226,24871,14393,15,53295,52514,14025
127,781,22138,53753,28895,6631,784,26619,34432,30977,24736
