,0,1,2,3,4,5,6,7,8,9
0,224,10310,197075,209700,52697,21928,263703,204467,47887,8820
1,59536,47992,57044,15497,28885,8427,29405,393522,206006,44417
2,206066,43478,49745,31863,38968,200583,28738,56535,51018,203817
3,57269,55286,4,31712,33871,51132,17623,2107,20904,15510
4,43406,5379,7594,263777,15806,327900,39069,135377,1909,15440
5,138398,2519,198717,135629,25220,14618,327794,43619,9785,10143
6,32,37611,328262,15108,64073,62642,2510,206509,136393,7753
7,204332,1246,206548,50825,17948,13032,40788,25668,61049,43507
8,13728,35592,64238,6893,199101,7782,42000,50242,399748,21859
9,27792,9166,263157,26610,11488,34911,396190,7828,29134,26592
10,60786,11402,52314,9498,267797,7828,6568,27843,6893,136360
11,24186,133658,133658,17439,139195,18881,135190,17625,27733,16629
12,45194,27668,131269,7420,133982,133982,9430,131269,135755,23860
13,199256,58765,7420,37002,199256,199283,199283,199256,23860,7420
14,37002,37002,37002,42003,37002,37002,37002,37002,37002,37002
15,42003,42003,42003,8075,42003,42003,42003,42003,42003,42003
16,196621,196621,196621,196621,196621,196621,196621,196621,196621,196621
17,133289,133289,133289,133289,133289,133289,133289,133289,133289,133289
18,4758,4758,4758,4758,4758,4758,4758,4758,4758,4758
19,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199
20,204052,201281,57119,21173,49367,134341,12480,12350,55,13101
21,6877,12684,48972,49601,57777,207671,1113,13489,201396,49505
22,39028,44622,25106,57084,34108,205790,51255,41668,203556,27725
23,203641,34385,22548,13156,16331,49866,17222,25220,50543,25429
24,4809,198249,18126,50287,199468,41652,39534,9304,12812,199551
25,132245,18121,30851,4721,47794,41095,41620,35661,47787,55785
26,6939,328262,59617,17210,7575,55785,59125,7489,45345,393552
27,47727,15011,16246,47232,395257,202228,9500,11090,37315,28905
28,43915,21430,18534,28109,28725,269923,25234,39392,7247,47787
29,27651,60609,14102,3549,395214,201091,20926,47787,47834,3549
30,44375,14868,14708,17465,3549,19045,6147,22927,19045,132453
31,134285,55824,17625,23860,17747,3549,18209,133658,3816,262239
32,24309,27651,17439,199256,18196,17439,45194,9430,137153,9430
33,199283,45235,36926,20886,199283,199256,7420,36926,135760,199283
34,12975,15699,133136,2108,30722,39648,199165,51935,11776,42961
35,35063,20956,49469,35819,396982,49601,378,15480,42885,16322
36,209700,51255,8447,200906,3491,12741,35754,60631,5392,855
37,34643,50012,53667,39180,56420,28738,43406,1909,41709,38926
38,198260,6667,133189,9534,51375,208907,51349,17676,210036,61094
39,9735,9916,16110,30475,203020,3450,39542,200836,34977,23655
40,40788,199165,13280,200635,209792,7679,53591,6677,17506,207609
41,49931,394197,58328,1886,398447,25133,63318,395611,39522,56427
42,198985,31246,14813,14708,30764,803,204064,35592,15011,198985
43,27747,2552,203432,135190,25273,48661,203585,2552,52029,393275
44,205588,28573,52341,45235,26592,27411,7418,264744,37090,135190
45,24550,23752,137084,36926,134868,11402,134285,135190,64116,27651
46,9430,22927,135760,8767,132933,18196,4755,135262,9829,135262
47,7420,132933,199283,31922,7420,7420,199256,7420,18196,199256
48,48747,43939,3352,11232,25374,44946,34119,13026,12110,6057
49,47524,49588,9208,37457,39257,39863,8982,263779,43557,197765
50,21282,48511,201155,51859,7029,21034,197467,12695,48438,7727
51,49941,20776,2914,11097,35816,44417,9038,34587,35598,29119
52,204234,48854,23855,29962,16347,31472,396982,38796,22548,21500
53,17804,23719,49824,30764,13041,1307,35661,8218,64444,9930
54,19653,61215,50300,9166,7684,2500,134220,31122,58698,11317
55,44002,11525,43542,14522,201106,39422,27272,201106,16637,47232
56,2722,25192,35891,23752,42908,23316,204165,39790,3367,199652
57,52314,198985,398721,4755,6134,202605,37136,211398,198161,12271
58,49100,6373,26610,199283,61449,174,265662,5692,201924,134944
59,133658,137153,9498,43197,131210,6147,56166,134341,27828,6147
60,134325,27828,18196,46690,134325,45820,133982,17439,56166,45194
61,45009,134325,199256,206114,5483,210025,8351,199283,45235,205645
62,212485,24634,202898,207992,48217,3209,9051,201213,15540,43727
63,2588,13156,21453,48821,203474,199811,8580,50857,16202,46309
64,29614,34590,48284,133612,41771,34533,203969,47165,39555,44735
65,134877,197809,140726,27272,43081,51375,205678,203020,20764,206314
66,62642,199150,4773,47727,50999,45009,59689,135629,2857,23881
67,42615,134220,20875,203591,4608,17962,17726,199562,57809,14638
68,208712,47474,328137,27770,15267,12593,396878,328262,4049,35046
69,6893,32881,197046,134868,29504,34553,199298,396515,37009,1886
70,10753,197046,7247,9430,57929,199101,15142,42189,16591,14522
71,25184,14615,20953,44053,264640,397142,27843,36149,50971,133658
72,45820,33363,27839,217,23752,52314,23752,16629,32160,27678
73,133982,133661,134944,5518,58765,18209,45235,135755,61449,17439
74,50178,3816,134325,207002,39308,198183,12731,23860,18209,42708
75,51943,131269,15540,2128,8365,33871,26046,38949,131269,3238
76,197686,46609,197467,4766,38008,42401,13118,1270,11994,59795
77,41652,44244,13335,5078,201430,206873,57760,61400,15474,327813
78,15450,12757,21928,208712,200906,62267,42953,207306,25133,52212
79,133959,21379,24173,35467,264811,327844,23951,4780,12773,9443
80,11607,48328,60713,6568,2500,45671,133481,199422,1111,16591
81,39790,136393,33763,134285,11090,48979,7782,327687,132245,56456
82,64112,37519,57728,58765,16019,395152,35361,398960,10010,51630
83,26610,40788,42615,35558,13830,57707,41589,196843,42831,35913
84,47165,25424,36149,11994,11815,40285,264640,30938,42615,134341
85,131210,393886,28099,3491,55824,27733,134868,26592,28905,7418
86,45235,46303,137153,52063,24309,135262,18196,45942,39756,4755
87,202113,9498,24309,12306,205893,34705,60781,18196,23031,208425
88,3212,27839,43284,53591,59752,20750,205961,203556,139195,48715
89,33837,17439,8985,15011,208905,577,12552,27364,134325,51871
90,199571,34960,48453,52029,51929,51892,12083,51032,9208,208261
91,16735,34224,35908,212047,51561,37537,207934,239,203228,42560
92,55430,43132,58369,27828,50178,207841,18399,37989,201852,1916
93,32881,41676,51124,137153,4780,62184,45671,55536,25490,26292
94,206420,53046,49567,18196,14434,52212,13925,60672,141235,25424
95,23181,4760,42908,51698,47232,26793,197029,13807,2470,11888
96,33182,12628,10381,50467,20953,35361,263157,44002,131743,27833
97,59441,7782,396503,200434,10753,211398,20255,37136,51263,24186
98,137153,35613,27668,203457,45820,20255,17465,28118,207609,27839
99,132933,19045,24550,394256,45235,58765,135760,56166,208712,135760
100,28876,22342,58765,11404,27831,204847,47203,4755,37136,12570
101,198754,139195,60471,2698,34373,9063,206314,56635,28099,50512
102,35271,28099,211613,202872,11051,43957,49866,6373,134944,198183
103,209523,135760,29081,23481,44604,197695,35913,47764,45194,328049
104,22438,2593,14949,28512,327724,1213,25376,15817,15516,41931
105,4721,28979,56040,137084,42953,12374,197696,55392,62418,38001
106,17210,12993,1820,135760,4713,17639,55392,328411,199246,54412
107,202618,200031,41230,41798,35891,48437,395257,43081,42765,31349
108,6134,45204,47727,61297,15614,26457,206420,62759,202536,43915
109,23118,2510,7896,32181,213230,57069,57929,25512,30983,209
110,48551,51263,30298,21260,27879,62513,26592,198736,136972,134285
111,45942,29802,3816,786,45528,53055,134341,52455,202695,18881
112,58765,43542,9829,132255,4755,134325,23860,137120,11607,133982
113,42707,7828,133982,19171,53169,3215,49711,58765,49985,208942
114,2107,6058,206701,199803,60767,202090,31115,20853,17306,34590
115,6856,9829,29555,398721,61044,43652,34123,14080,28512,133136
116,37315,11815,9318,27651,12996,42518,35332,49828,135190,199165
117,32100,133982,199064,139195,49642,37390,212882,42961,9430,43384
118,134220,29286,55850,133982,48854,36444,199422,136119,209198,4812
119,14813,9147,31424,23969,131583,135377,133189,6739,6730,16796
120,34393,35125,8468,31204,7753,35530,40029,25376,30836,50242
121,16409,13121,49985,30036,15962,398960,61169,7247,8641,174
122,264608,202040,16796,29605,212047,43541,198736,50348,3450,11402
123,202391,17884,198985,48292,52314,199652,27901,15142,37126,17465
124,23752,58273,27883,55990,45609,27699,131210,27651,133159,3816
125,131269,42615,56166,9500,9430,45235,135262,132453,33763,132933
126,51792,206548,132933,28725,29305,55824,47956,133982,30475,212567
127,39069,39756,42580,13728,24889,8560,44544,208139,198657,12722
128,200675,14522,34373,23031,26830,5470,50449,201773,20926,24909
129,21351,45609,41955,45942,57552,56588,60471,197765,26610,205697
130,197269,7418,33083,132933,60610,43408,212567,12731,133661,59686
131,135421,45194,17451,29208,1909,34288,41405,4697,4755,54632
132,9500,21232,48471,812,137818,10143,8075,8839,46609,25668
133,34093,63949,20712,3842,19171,8779,393552,36692,12808,25248
