,2,7,6,1,3,5,0,8,9,4
0,206008,34683,198068,51375,48685,41798,15703,327814,30997,21283
1,198524,23889,202422,21412,61327,60415,47583,132199,6057,33983
2,42560,3462,36236,3215,56635,4788,36926,4766,57695,57675
3,41937,6752,34779,3491,58475,22047,44217,48252,264608,12709
4,24016,8680,3327,3249,24722,5391,29222,24634,16010,35805
5,10620,24757,42473,48503,15474,24877,267797,5576,12778,47524
6,43019,8551,49800,7642,200590,41897,45935,56933,22894,62282
7,37645,58328,1547,5603,197686,56740,23862,8386,61468,56588
8,209465,35444,3209,15133,197692,8285,17884,24550,12812,6821
9,9318,8151,42961,378,43451,42841,17579,17408,327947,21211
10,203512,37537,199524,199071,44735,3212,45090,23700,208520,11664
11,9329,23951,8767,6661,12783,12993,4812,131749,8670,34984
12,61189,4434,8422,51225,49036,199103,17552,28099,5379,25019
13,34296,3605,8412,12008,12539,39007,39568,8048,133802,50345
14,33922,202536,2119,29555,202130,21277,132400,52455,45204,61094
15,51346,13122,25513,52048,12849,49560,10310,278,38158,56568
16,44369,7727,8560,25106,36884,201860,13489,29032,24651,38949
17,8778,34362,20473,51018,6677,8661,202090,328162,9038,41424
18,48275,25180,9136,2602,1967,58322,4800,5692,37577,25455
19,25273,1257,8402,204279,202632,8226,5416,7470,21050,49711
20,43197,6400,42610,12400,49902,199128,7420,25429,133800,8540
21,21351,42642,12322,6697,62024,13194,198288,38077,56055,43848
22,56681,17451,5089,3238,34772,49624,28683,11888,42207,8445
23,9125,21183,48362,6866,12406,16125,208448,37705,55569,12793
24,209045,49254,1901,21246,50543,14061,137431,7908,11193,49808
25,198330,25431,51184,47794,8559,205818,269923,1237,140443,29081
26,197119,812,6848,43571,28857,39216,17962,45906,8781,34762
27,38968,9299,8866,12578,8245,43708,10753,27883,27831,8262
28,49688,37282,31287,6855,62276,24961,23031,3597,7590,12591
29,14080,12556,42431,15962,25428,47623,48979,271885,62513,47697
30,51495,328411,29084,2607,201887,1241,327741,264744,14988,34569
31,44185,39863,1836,196948,50309,63949,52361,50195,58717,25374
32,25581,327798,208712,8220,204232,8339,17804,37420,27678,201155
33,206718,9930,42908,6830,53169,25255,45899,29286,265721,15576
34,33788,23881,42306,8400,28130,208210,9735,25543,133481,42346
35,12969,9121,29208,2588,43127,204059,25532,263689,23752,198161
36,20634,47451,44712,34354,198657,58079,38008,33582,327844,12570
37,12975,199244,8881,43289,204957,20956,36290,27790,141371,50825
38,197448,198183,680,39935,208329,43205,60288,42455,61135,200114
39,37154,37090,9145,50999,44424,8717,8346,17456,9785,28972
40,210278,24691,61157,44549,202605,35141,57722,4538,60924,62099
41,31898,37532,553,2200,25424,48747,55933,14117,58431,35613
42,200914,20545,34936,5479,28851,198127,11172,7418,52336,29504
43,31394,2470,42184,35734,199101,7992,7506,35819,37578,29086
44,25447,9119,206479,200129,209040,12620,328381,4837,37386,61169
45,21079,27901,42652,8758,12941,28875,55960,132905,262149,57707
46,40980,55536,39138,25534,43847,51873,38182,4134,28000,208942
47,41437,29385,24603,30999,43910,8298,41620,24399,55430,30962
48,5385,36914,25291,1850,201213,57777,264679,28545,7018,25054
49,47692,37100,196819,8240,205100,202032,15924,18420,852,203228
50,208323,18822,15943,2586,9182,59414,50242,27668,9498,57407
51,49432,35328,35244,2860,20755,8271,24186,6147,205311,20849
52,136972,8466,5539,202196,49225,31349,135755,27796,1653,34156
53,62098,37513,50629,55836,8208,43709,39526,24390,396982,16097
54,50857,61211,15743,29169,8351,31246,21859,7303,7545,47447
55,31029,202940,203329,13037,56912,8251,24164,6568,38195,62023
56,17222,15399,12931,24940,12316,25234,34643,27733,135150,15366
57,2568,49604,16316,1853,202077,15614,134116,27800,4608,9135
58,60016,197706,8879,1764,200486,29321,47237,198290,10143,60664
59,50277,37390,12337,48943,12843,206420,17726,210118,138466,34568
60,63473,25365,41998,8437,41955,57728,327724,262913,38880,29413
61,51776,15836,8391,1120,200801,35046,13121,22927,27699,57154
62,44002,7713,39702,13030,8520,6881,36905,18399,22548,206313
63,199803,208425,202040,39837,12886,205112,6453,52314,54632,35227
64,197019,63927,207306,212567,200924,60351,37136,204170,577,50324
65,202657,30844,15844,21013,205046,1273,132203,327707,5769,21161
66,34093,49402,44973,4739,29140,201701,135421,10131,855,20677
67,43507,327831,51468,199610,12923,29551,209700,56099,6327,8823
68,29252,37061,197317,9268,48918,48200,205893,18419,395152,58243
69,25579,203618,719,47377,199412,8365,42003,14434,212934,20773
70,57353,51896,203296,39923,208183,198726,270014,28073,21659,62365
71,202208,12735,3274,212882,44974,199938,55990,27843,6058,15830
72,51167,52285,1759,13306,29624,35368,201924,37084,46609,59507
73,201396,198208,20904,31250,43566,201709,133752,20776,395075,61343
74,201035,60304,41405,3245,205206,203520,17055,267685,239,34372
75,35710,1267,16347,9070,16095,24679,140726,27947,50170,41723
76,207439,9269,8839,198228,47304,28748,38505,37074,41495,41451
77,6735,201852,56478,62418,33796,201011,4809,27725,12333,34788
78,196714,63848,5607,34224,5505,13246,2549,264676,24806,203478
79,59775,12508,56329,3303,202583,33824,20857,263703,209915,60111
80,207671,4616,20845,20612,204234,197095,45758,52341,48854,203953
81,51978,30983,12303,58299,205697,198452,56017,28109,42612,15516
82,29018,34594,48715,206291,59908,31027,3816,14522,15954,198901
83,12808,8982,35612,21466,60493,42541,136119,45725,20815,15704
84,44946,131743,43942,198385,33932,12479,200334,27660,35540,201587
85,39083,5087,33915,62371,48846,13287,136393,264640,204092,50585
86,44365,133809,1136,42760,43382,199853,37492,6535,50620,16363
87,208927,37009,206238,41872,35382,57269,8038,27839,51458,62227
88,47297,44234,28685,198249,203817,35699,60707,61449,204708,203231
89,34705,327821,25596,34554,20798,1741,135629,9051,50446,199165
90,200030,37406,1101,34927,51728,201557,14708,37336,29075,35263
91,1739,3208,39686,9044,59397,60846,9905,27792,203476,50810
92,39699,137818,14907,21430,51935,49866,52468,27828,15401,62173
93,196655,24560,35277,16019,202898,51319,47887,132796,197422,31115
94,16331,37153,35754,25248,39567,41090,56566,33771,209523,202975
