,X,Y,ASN,Continent,Colors
37054,1.8179476,-0.19877526,37054,Africa,2
51495,-72.9142,-1.6514833,51495,Asia,0
7506,-56.82568,12.608194,7506,Asia,0
202652,-38.797436,-33.069847,202652,Europe,1
52431,-11.54843,7.4796066,52431,South America,4
327821,1.2536852,-21.237034,327821,Africa,2
55430,12.850563,23.963566,55430,Asia,0
28885,-32.546368,-14.69471,28885,Asia,0
328381,-66.042755,33.018803,328381,Africa,2
37406,19.823944,-7.7536955,37406,Africa,2
25192,66.45485,-2.556928,25192,Europe,1
55960,-52.83644,32.317253,55960,Asia,0
38182,-62.13202,5.203663,38182,Asia,0
137153,-50.579548,13.241749,137153,Asia,0
44185,-40.84164,-26.151634,44185,Europe,1
34772,-9.699573,-32.354427,34772,Europe,1
7018,26.774862,31.300186,7018,North America,3
41620,-64.908516,1.3104653,41620,Asia,0
852,24.465578,34.715443,852,North America,3
3208,7.2141614,-14.328105,3208,Africa,2
207036,-16.051844,-5.6576047,207036,North America,3
264679,-57.515274,1.9432282,264679,South America,4
395400,-26.952986,0.26099026,395400,Oceania,5
15924,-67.68782,32.636196,15924,Asia,0
137818,-4.194955,-2.638057,137818,Asia,0
202468,-77.36996,2.4174688,202468,Asia,0
50242,-68.84637,2.388446,50242,Europe,1
24186,-50.777122,13.30174,24186,Asia,0
27879,-27.55506,13.706155,27879,South America,4
3596,-32.616936,-10.449614,3596,North America,3
29399,-33.743332,-27.909395,29399,Asia,0
327875,1.334317,1.2406901,327875,Africa,2
8560,52.634777,42.79334,8560,Europe,1
23969,-52.82137,-3.6397097,23969,Asia,0
55836,51.82142,31.26263,55836,Asia,0
59238,24.27658,14.33383,59238,Asia,0
29169,27.049019,42.41426,29169,Europe,1
263824,-30.415367,-10.619256,263824,North America,3
135755,-47.352993,12.393089,135755,Asia,0
263209,-26.510347,16.660883,263209,South America,4
39526,-73.422455,21.065315,39526,Asia,0
9009,-21.024769,-20.529797,9009,Europe,1
21859,-55.715588,18.788418,21859,North America,3
37126,-2.8426518,3.2029998,37126,Africa,2
20473,72.417854,36.581635,20473,North America,3
22773,15.23152,16.54191,22773,North America,3
24164,-45.176655,-11.03471,24164,Asia,0
27928,-30.225027,-10.492679,27928,North America,3
9370,-64.14495,18.791973,9370,Asia,0
34643,-49.688435,-8.201604,34643,Europe,1
134116,-37.674232,-7.3962784,134116,Asia,0
16629,-20.972235,25.361559,16629,South America,4
25581,-38.37711,-26.910576,25581,Europe,1
47237,-69.10537,10.022185,47237,Asia,0
327859,-2.9042659,3.0995543,327859,Africa,2
33763,-59.376736,-9.129422,33763,,6
9136,53.140568,-0.33270982,9136,Europe,1
206718,-65.27389,-26.403526,206718,Europe,1
17726,-56.453503,-0.030372342,17726,Asia,0
43232,-71.02135,4.10249,43232,Europe,1
15344,-12.892163,0.8122186,15344,North America,3
203752,-20.728437,-33.933735,203752,Europe,1
20255,-26.116232,14.321184,20255,South America,4
33788,-39.70577,-12.528243,33788,Africa,2
15955,-10.977885,-26.743387,15955,Europe,1
17072,-42.47149,-6.719402,17072,North America,3
327900,-32.082016,-15.516372,327900,Africa,2
327724,-48.835926,32.501137,327724,Africa,2
13121,-69.130714,31.948032,13121,Europe,1
36905,-56.2144,31.161348,36905,Africa,2
8402,71.03904,25.858347,8402,Europe,1
135377,-61.244057,4.618721,135377,Asia,0
6453,-46.95938,15.928228,6453,North America,3
8529,-22.829035,-13.708733,8529,Asia,0
14638,-47.87211,-4.883257,14638,North America,3
37136,-57.9184,19.11754,37136,Africa,2
45766,-37.58526,-7.702521,45766,Asia,0
135262,-46.93293,17.987194,135262,Asia,0
39216,36.964363,-5.947408,39216,Asia,0
12969,-63.04073,-4.8850565,12969,Europe,1
132203,-65.59181,19.002365,132203,Asia,0
135421,-64.82071,29.322481,135421,Oceania,5
43708,27.634695,-35.708805,43708,Europe,1
24961,47.43247,-10.367798,24961,Europe,1
12406,-39.08742,-37.461742,12406,Europe,1
12876,25.691395,20.452635,12876,Europe,1
20634,-63.825836,-10.961101,20634,Europe,1
209700,-64.360504,37.633976,209700,Asia,0
26610,-19.194523,23.383844,26610,South America,4
205893,-61.799843,1.1641833,205893,Asia,0
12975,-55.91735,-19.829243,12975,Asia,0
9916,-35.733273,-8.147157,9916,Asia,0
42003,-51.992188,38.007027,42003,Asia,0
270014,-61.520477,16.017746,270014,South America,4
47623,23.593657,-23.43801,47623,Asia,0
197448,-37.877766,-28.477633,197448,Europe,1
198095,-49.88728,-15.120742,198095,Europe,1
35567,-31.079353,-25.628103,35567,Europe,1
55990,-58.861366,13.772628,55990,Asia,0
201924,-58.01051,19.312408,201924,Europe,1
133752,-60.918766,3.9626925,133752,Asia,0
138195,-62.5458,3.6687064,138195,Asia,0
17055,-63.14627,28.283798,17055,North America,3
27770,-57.287548,4.509875,27770,South America,4
139759,-35.269047,-3.0981152,139759,Oceania,5
9498,17.224415,26.83305,9498,Asia,0
9829,-38.837128,15.577402,9829,Asia,0
208764,-36.151104,-38.1136,208764,Europe,1
37154,-58.686874,-9.737482,37154,Africa,2
13037,38.68068,31.742115,13037,Europe,1
42610,75.78497,23.042103,42610,Europe,1
15600,53.12987,-5.66989,15600,Europe,1
31143,-67.01029,34.830563,31143,Europe,1
17623,-52.84748,31.481503,17623,Asia,0
140726,-57.797398,14.123183,140726,Asia,0
38505,-52.603836,-3.5894928,38505,Asia,0
50543,-28.839647,-48.19187,50543,Europe,1
4809,-55.03451,31.331572,4809,Asia,0
2549,-38.99805,-2.9275877,2549,North America,3
20857,-69.875,8.01645,20857,Europe,1
210278,-59.442127,-14.71993,210278,Europe,1
24560,-9.215578,-6.349034,24560,Asia,0
31898,-71.931496,-1.0406725,31898,North America,3
45758,-64.58053,16.696777,45758,Asia,0
24940,48.244534,43.239567,24940,Europe,1
56017,-60.77885,18.018152,56017,Oceania,5
12322,71.52491,29.030993,12322,Europe,1
3816,-60.054737,15.500734,3816,South America,4
136119,-64.036316,30.447895,136119,Asia,0
200334,-65.07036,33.1207,200334,Asia,0
136393,-63.56059,14.825897,136393,Asia,0
200914,-50.96558,-21.834215,200914,Europe,1
37492,-66.60281,17.366282,37492,Africa,2
56894,-73.86938,21.112566,56894,Europe,1
51698,-72.28336,2.5774982,51698,Europe,1
8038,-68.02119,13.675356,8038,North America,3
2527,-10.372235,16.066856,2527,Asia,0
205311,32.83649,26.706802,205311,Europe,1
48551,72.831924,5.5739994,48551,Asia,0
36959,-63.060474,14.362519,36959,Africa,2
37153,1.756317,-15.170124,37153,Africa,2
60707,-62.66985,38.112522,60707,,6
135629,-52.79894,32.44083,135629,Asia,0
14708,-61.046745,15.80265,14708,South America,4
37963,-59.240353,13.908606,37963,North America,3
9905,-63.97834,30.380976,9905,Asia,0
52468,-65.400856,27.736864,52468,North America,3
47887,-66.87994,24.377712,47887,Asia,0
56566,-70.381424,27.86282,56566,Europe,1
53667,-69.48029,31.750784,53667,North America,3
135478,-55.265205,36.46181,135478,Asia,0
134877,-62.235996,33.758476,134877,Asia,0
209974,-72.641,13.104392,209974,Europe,1
57935,-65.23041,31.959246,57935,Asia,0
9304,-67.696236,23.596369,9304,Asia,0
4780,-64.36285,25.873695,4780,Asia,0
134521,-59.258648,8.961342,134521,North America,3
197765,-70.77254,30.15446,197765,Europe,1
27845,-60.111122,25.035307,27845,South America,4
12847,-64.723724,36.863243,12847,Europe,1
5089,54.436867,33.27327,5089,Europe,1
1241,46.65728,-11.898073,1241,,6
131447,-62.421253,35.33655,131447,Asia,0
47196,-75.05199,16.287262,47196,Europe,1
8075,-51.158043,36.729275,8075,North America,3
25145,-65.08851,32.943832,25145,Asia,0
29614,-59.799023,31.185484,29614,Africa,2
139994,-55.90355,36.99235,139994,Asia,0
18592,-53.92196,36.255596,18592,North America,3
22884,-56.164894,41.356895,22884,North America,3
18734,-53.244797,42.984146,18734,North America,3
28556,-53.190166,42.92246,28556,North America,3
18809,-58.965183,39.69893,18809,North America,3
28512,-53.24995,43.006203,28512,North America,3
63949,51.964382,-3.3122835,63949,North America,3
58313,-54.39117,38.893856,58313,North America,3
45102,-55.3047,37.052273,45102,North America,3
1653,51.91114,12.61313,1653,,6
396982,30.575449,47.52968,396982,North America,3
43754,14.349184,-52.990734,43754,Asia,0
22122,-54.408207,35.496082,22122,North America,3
8447,74.70603,32.247307,8447,Europe,1
8339,36.46602,-14.710195,8339,Europe,1
47132,9.768057,-23.917383,47132,Europe,1
30971,29.90438,-1.7934029,30971,Europe,1
8559,-20.58767,-34.029015,8559,Europe,1
1205,16.780777,0.46097565,1205,Europe,1
42557,10.000278,-23.791811,42557,Europe,1
1113,16.30765,0.22555119,1113,Europe,1
51265,11.759124,-22.127598,51265,Europe,1
1853,36.888233,17.102983,1853,,6
31394,-53.531586,-18.40628,31394,Europe,1
34347,52.106586,24.328531,34347,Europe,1
39912,-9.756409,-40.004787,39912,Europe,1
12605,-10.705103,-46.482002,12605,Europe,1
1764,48.482246,40.025845,1764,Europe,1
25255,35.87519,-15.646179,25255,Europe,1
57169,-73.77865,14.086844,57169,Europe,1
48362,53.508236,46.55422,48362,Europe,1
1901,74.96111,32.26816,1901,Europe,1
6720,17.294897,0.042862926,6720,Europe,1
61438,45.38165,41.80943,61438,Europe,1
8540,24.58257,-25.296926,8540,Europe,1
29056,29.855118,-1.7390728,29056,Europe,1
35492,29.80094,-23.045082,35492,Europe,1
201240,29.96175,-23.150005,201240,Europe,1
43957,8.646414,-25.268324,43957,Europe,1
48943,48.66053,39.98429,48943,Europe,1
8437,35.868225,-15.608768,8437,Europe,1
49163,-10.998201,-31.95142,49163,Europe,1
43848,8.786958,-22.87532,43848,Europe,1
1111,16.675941,1.2920268,1111,Europe,1
1120,36.73815,17.021067,1120,,6
8445,16.310678,-42.126663,8445,Europe,1
51184,72.78542,32.63684,51184,Europe,1
13030,52.322628,25.82599,13030,Europe,1
12793,-11.106769,-47.20175,12793,Europe,1
1109,15.3217,-0.31388628,1109,Europe,1
39555,15.7075615,-20.377193,39555,Europe,1
42685,16.645685,0.5369216,42685,Europe,1
31510,63.73425,28.126013,31510,Europe,1
39837,37.288845,17.345661,39837,Europe,1
49808,19.370447,-40.884914,49808,Europe,1
40994,-71.12386,9.465898,40994,Europe,1
209553,-61.110214,-3.516184,209553,Europe,1
50226,-34.928116,-28.691422,50226,Europe,1
31543,20.634077,-8.491628,31543,Europe,1
39878,45.844177,43.682182,39878,Europe,1
201686,3.6569326,-3.526775,201686,Europe,1
28760,12.761195,-41.466755,28760,Europe,1
12991,17.107082,0.5714267,12991,Europe,1
25447,-40.85148,-26.024694,25447,Europe,1
21079,-56.566902,-11.127428,21079,Europe,1
212567,52.793453,-2.6577263,212567,Europe,1
28857,-12.061799,-32.804993,28857,Europe,1
59789,14.099342,-21.502552,59789,Europe,1
29287,9.162603,-23.152363,29287,Europe,1
39560,13.40721,-20.296034,39560,Europe,1
61109,-48.912804,-28.951859,61109,Europe,1
206228,-69.12168,3.6511588,206228,Europe,1
679,-48.71886,-13.545412,679,Europe,1
40980,-49.664406,-29.29755,40980,Europe,1
41437,-36.186253,-28.159197,41437,Europe,1
8245,-35.578575,-37.069576,8245,Europe,1
21013,39.512604,45.3136,21013,Europe,1
36492,-32.654015,-32.606476,36492,North America,3
35369,11.775816,-22.097422,35369,Europe,1
29081,25.513912,-25.741404,29081,Europe,1
5385,-41.546436,-28.984636,5385,Europe,1
47692,-52.87651,-19.844015,47692,Europe,1
208323,-53.54955,-18.505358,208323,Europe,1
42729,-0.9320402,-38.622375,42729,Europe,1
62276,-10.516795,-32.515526,62276,Europe,1
13026,-71.10841,15.45747,13026,Europe,1
2488,-35.00405,-27.57276,2488,,6
49432,-66.91948,-9.861526,49432,Europe,1
47251,-68.74935,31.197172,47251,Europe,1
7545,18.024626,22.113419,7545,Oceania,5
4739,18.081903,22.13485,4739,Oceania,5
4764,16.393282,24.123678,4764,Oceania,5
38195,15.97127,23.676344,38195,Oceania,5
135150,12.588354,38.6598,135150,Oceania,5
4608,0.28150865,22.222645,4608,Oceania,5
10143,15.816156,23.63413,10143,Oceania,5
1221,6.342322,22.641907,1221,Oceania,5
17819,-19.406092,1.6584387,17819,Asia,0
58473,-20.386568,1.8141793,58473,Oceania,5
137409,26.022884,12.843818,137409,Oceania,5
135887,6.201214,22.728285,135887,Oceania,5
133736,-40.13642,-1.8372812,133736,Oceania,5
138466,11.614811,32.89219,138466,Oceania,5
137576,-19.80823,-14.676797,137576,Oceania,5
38220,-16.197529,1.1448193,38220,Oceania,5
45671,2.030597,8.933254,45671,Oceania,5
7594,2.0079107,9.052032,7594,Oceania,5
38880,25.70881,11.995445,38880,Oceania,5
24516,-19.769943,-14.760488,24516,Oceania,5
132245,-19.596298,-0.6638926,132245,Oceania,5
10214,-15.11768,-3.060089,10214,Oceania,5
45797,-19.331783,-1.4799685,45797,Oceania,5
45638,-29.885893,-7.3868375,45638,Oceania,5
4804,4.8307085,22.77176,4804,Oceania,5
7575,2.5373006,12.941533,7575,Oceania,5
199610,26.30592,36.48753,199610,Europe,1
134090,-61.224483,13.750347,134090,Oceania,5
58698,-17.146542,-1.9102235,58698,Oceania,5
4851,-20.453375,1.0321721,4851,Oceania,5
9443,-20.869078,0.36736265,9443,Oceania,5
38796,-6.831214,13.760296,38796,Oceania,5
9268,24.245632,34.034313,9268,Oceania,5
134111,-16.679626,-2.177792,134111,Oceania,5
17551,-7.5094,4.061993,17551,Oceania,5
63920,-29.88547,-7.287588,63920,Oceania,5
23719,-17.155989,-1.3406303,23719,Oceania,5
133612,1.1139367,7.9916277,133612,Oceania,5
133159,-62.74473,8.422124,133159,Oceania,5
136972,-43.258698,-20.413464,136972,Oceania,5
45838,-18.540009,-1.0021244,45838,Oceania,5
138562,-61.531868,14.132462,138562,Oceania,5
134697,-56.460014,-4.6539445,134697,Oceania,5
139002,-52.651375,-3.0858548,139002,Oceania,5
45828,-21.055836,0.47774386,45828,Oceania,5
136988,-63.05652,26.079157,136988,Oceania,5
133189,-62.586254,8.140349,133189,Oceania,5
17117,-70.73848,31.888977,17117,North America,3
136994,-63.031906,27.239508,136994,Oceania,5
6848,67.848625,27.072277,6848,Europe,1
12392,37.435516,-12.626469,12392,Europe,1
2611,48.398106,35.706932,2611,Europe,1
5432,66.9179,26.859486,5432,Europe,1
47377,42.12612,22.681469,47377,Europe,1
208210,40.586494,-16.800161,208210,Europe,1
9031,43.71711,-10.440222,9031,Europe,1
9166,8.196355,4.4904275,9166,Europe,1
201366,43.503834,22.57638,201366,Europe,1
204059,27.837795,8.627566,204059,Europe,1
39923,41.984966,41.216595,39923,Europe,1
210103,9.432967,-43.16137,210103,Europe,1
34762,19.705221,-25.933796,34762,Europe,1
62098,-54.889744,-13.3161,62098,Europe,1
56837,33.35513,21.411568,56837,Europe,1
25428,-17.406622,-34.7044,25428,Europe,1
5488,2.4071658,-22.66352,5488,Europe,1
201887,-23.0466,-22.763369,201887,Europe,1
50998,3.4624686,-22.232115,50998,Europe,1
35593,-16.765728,-13.45253,35593,Europe,1
9208,2.563231,-22.411985,9208,Europe,1
50309,-35.33463,-34.67968,50309,Europe,1
64478,-14.822533,-35.7202,64478,Europe,1
212882,30.095366,12.193042,212882,Europe,1
208725,29.539728,12.133316,208725,Europe,1
50857,-59.959347,-11.024074,50857,Europe,1
50156,-63.357147,34.912426,50156,Europe,1
211398,-54.26322,38.74878,211398,,6
13306,61.1274,23.904274,13306,Europe,1
8866,50.57256,-10.237923,8866,Europe,1
58079,26.904667,-25.663923,58079,Europe,1
31250,58.263145,32.182953,31250,Europe,1
3245,64.77798,36.277958,3245,Europe,1
9070,64.24472,36.343052,9070,Europe,1
29580,43.985176,-15.191069,29580,Europe,1
20956,28.294716,-24.967682,20956,Europe,1
43205,33.296146,-16.358965,43205,Europe,1
31287,63.920876,37.459045,31287,Europe,1
8262,-8.710946,-39.675636,8262,Europe,1
198228,53.598946,1.787496,198228,Europe,1
12591,27.736788,-19.466146,12591,Europe,1
8717,45.452477,-12.463696,8717,Europe,1
62418,48.542683,17.989594,62418,Europe,1
47697,-2.4311934,-33.269314,47697,Europe,1
42431,64.412186,27.138865,42431,Europe,1
204232,-6.4812937,-29.691814,204232,Europe,1
34569,9.448282,-39.343796,34569,Europe,1
35489,27.823158,-19.335037,35489,Europe,1
29084,66.14792,36.949715,29084,Europe,1
202463,3.8348904,-37.52271,202463,Europe,1
20911,25.985487,-10.594784,20911,Europe,1
20750,17.676117,-42.052486,20750,Europe,1
43561,60.7143,27.464632,43561,Europe,1
35141,43.953716,-15.246819,35141,Europe,1
48747,41.516636,-15.809931,48747,Europe,1
34224,54.80826,19.21644,34224,Europe,1
15669,34.93408,-3.3328063,15669,Europe,1
20657,7.8562884,-23.938799,20657,Europe,1
31029,-60.3063,-20.292646,31029,Europe,1
25374,5.2429447,-40.0962,25374,Europe,1
48155,-18.0255,-24.797148,48155,Europe,1
198127,53.44904,-1.8954456,198127,Europe,1
48440,-61.87118,37.8212,48440,Europe,1
203380,-70.157555,19.941126,203380,Europe,1
56630,-73.48826,22.496405,56630,Europe,1
27699,-16.808836,25.236244,27699,South America,4
2716,7.382837,35.13505,2716,South America,4
53046,-4.052837,16.427555,53046,South America,4
1916,-8.835712,4.6096025,1916,South America,4
26592,-57.397614,4.691089,26592,South America,4
53184,-26.822638,18.353203,53184,South America,4
53166,-17.088076,-3.673068,53166,South America,4
28573,4.9003587,11.067929,28573,South America,4
271354,-3.9347987,16.59127,271354,South America,4
262691,6.9919496,-8.268487,262691,South America,4
26615,14.093969,5.6733966,26615,South America,4
28186,-22.948738,-4.840429,28186,South America,4
22548,18.179337,38.309753,22548,South America,4
18881,-19.99118,23.12769,18881,South America,4
262792,3.282469,14.856489,262792,South America,4
53006,-43.72796,-7.2320495,53006,South America,4
52694,-27.683676,18.09006,52694,South America,4
11097,-36.27304,-3.8991694,11097,South America,4
53169,-29.353405,-13.790073,53169,South America,4
10881,-4.2554164,16.212929,10881,South America,4
16735,-59.837746,12.453669,16735,South America,4
17222,-46.56916,-9.488936,17222,South America,4
262320,-48.47351,-6.77123,262320,South America,4
14868,-26.173855,15.8495655,14868,South America,4
28330,-22.759108,-4.8508577,28330,South America,4
53055,-60.129307,24.705273,53055,South America,4
52697,-57.762287,2.1725345,52697,,6
28130,-28.539068,16.805279,28130,South America,4
263649,-66.83846,28.52586,263649,South America,4
8167,-58.860264,1.5874218,8167,South America,4
63199,-58.91562,39.00866,63199,North America,3
32881,-5.1983886,26.36791,32881,North America,3
54632,15.626208,33.72489,54632,North America,3
53356,-2.8149016,29.87552,53356,North America,3
577,10.035025,19.828161,577,North America,3
5769,13.006012,19.754593,5769,North America,3
5645,11.381242,15.215625,5645,North America,3
1403,23.390156,34.98256,1403,North America,3
395089,-9.559198,24.1656,395089,North America,3
18534,-33.22039,2.4327552,18534,North America,3
54412,-51.40136,29.76403,54412,North America,3
19171,-0.23605864,15.563782,19171,North America,3
40788,-5.8259516,25.871626,40788,North America,3
13319,-5.5118227,26.38375,13319,North America,3
7992,12.064791,15.3137865,7992,North America,3
11260,-8.235788,-17.64258,11260,North America,3
855,11.166311,20.062832,855,North America,3
396515,-31.784384,1.8182422,396515,North America,3
6327,13.534477,19.418402,6327,North America,3
23523,-52.77321,36.940395,23523,North America,3
395152,-2.0693414,26.834019,395152,North America,3
212934,3.8029609,28.156492,212934,Europe,1
11814,-15.783279,-4.9108615,11814,North America,3
21659,0.2009036,31.125175,21659,North America,3
6058,9.031057,20.234457,6058,North America,3
46609,12.610716,16.190603,46609,North America,3
31798,-52.589584,37.39147,31798,North America,3
397168,-47.786865,26.929686,397168,North America,3
36817,-31.400736,0.96419775,36817,North America,3
19016,-41.94752,-9.808435,19016,North America,3
395075,12.233059,20.230637,395075,North America,3
14102,7.4156566,5.4940944,14102,North America,3
7122,-47.82557,27.181934,7122,North America,3
11727,-0.7079516,10.175863,11727,North America,3
3367,-6.098474,25.35636,3367,North America,3
239,17.776812,15.163997,239,North America,3
6407,10.9132185,14.451267,6407,North America,3
16796,-47.800495,27.207067,16796,North America,3
803,-56.987175,2.8684893,803,North America,3
174,21.609005,28.930779,174,North America,3
23181,-26.177132,6.6785364,23181,North America,3
25668,-34.685646,4.0697594,25668,North America,3
395611,-4.5223284,26.471565,395611,North America,3
395965,-39.941532,-10.944525,395965,North America,3
32100,-21.31545,5.9126925,32100,North America,3
11478,7.6066628,13.933689,11478,North America,3
393249,-3.9883292,7.150737,393249,North America,3
398721,-21.945963,6.293911,398721,North America,3
40029,-34.289814,3.8910153,40029,North America,3
396503,-26.059504,6.648477,396503,North America,3
19397,6.804191,26.122955,19397,North America,3
701,27.315119,30.128365,701,North America,3
394256,10.547278,30.989326,394256,North America,3
27272,-34.436924,-2.3027349,27272,North America,3
63318,-8.847203,23.875492,63318,North America,3
40864,-55.690174,-1.7043767,40864,North America,3
33185,-56.543633,-1.9660474,33185,North America,3
2568,-43.452667,-9.301781,2568,North America,3
14453,-57.808098,1.077668,14453,North America,3
62538,-55.23647,33.14475,62538,North America,3
395214,-61.30892,29.155039,395214,North America,3
14593,-8.624027,-16.548622,14593,North America,3
399105,-63.032066,28.964394,399105,North America,3
22799,-64.88656,27.47826,22799,North America,3
3303,50.91517,25.390371,3303,Europe,1
15796,31.17903,-11.092433,15796,Europe,1
57370,29.49068,-6.4181724,57370,Europe,1
58057,56.90938,46.485756,58057,Europe,1
12620,33.661568,-12.266849,12620,Europe,1
12350,19.618078,-23.37241,12350,Europe,1
199562,23.836916,-6.6304326,199562,Europe,1
39544,26.146301,-12.411954,39544,Europe,1
20612,30.055674,45.47858,20612,Europe,1
61174,30.371462,44.157692,61174,Europe,1
58299,56.8205,26.899385,58299,Europe,1
212865,31.24431,-10.848403,212865,Europe,1
59622,-16.574242,-26.762615,59622,Europe,1
206291,25.697462,47.470375,206291,Europe,1
58280,21.483753,-21.679329,58280,Europe,1
6730,32.99282,-11.033009,6730,Europe,1
28875,31.352074,-10.373638,28875,Europe,1
206484,30.658804,44.326347,206484,Europe,1
15623,20.155405,-22.770897,15623,Europe,1
199554,0.1726642,-27.042046,199554,Europe,1
34549,53.923073,43.66469,34549,Europe,1
51873,33.53541,-12.14451,51873,Europe,1
51395,16.033482,-40.595287,51395,Europe,1
205678,31.256323,44.19988,205678,Europe,1
44776,0.033331286,4.433424,44776,Europe,1
60016,-42.100613,-28.143488,60016,Europe,1
35518,-64.97754,4.372437,35518,Europe,1
34781,26.050447,-12.184753,34781,Europe,1
1836,59.14715,30.322784,1836,Europe,1
559,50.34969,42.06014,559,Europe,1
31424,-46.81579,34.536617,31424,Europe,1
8298,39.047325,-13.972193,8298,Europe,1
15547,26.089523,-12.824184,15547,Europe,1
21466,45.57736,18.224483,21466,Europe,1
198385,49.882717,42.72506,198385,Europe,1
62371,51.939236,1.5092201,62371,Europe,1
34288,49.438606,42.117573,34288,Europe,1
210036,32.0114,43.416286,210036,Europe,1
24951,-17.969912,-26.637161,24951,Europe,1
50170,25.504187,47.36502,50170,Europe,1
42760,44.691845,19.598396,42760,Europe,1
203969,0.17301075,-27.04677,203969,Europe,1
57777,38.94657,-13.838486,57777,,6
201155,18.427893,-40.818653,201155,Europe,1
41872,45.414127,19.654993,41872,Europe,1
198249,53.14493,-3.2584028,198249,Europe,1
24889,20.419209,-22.229002,24889,Europe,1
43284,-5.193896,-32.10836,43284,Europe,1
34554,45.395844,20.78424,34554,Europe,1
202032,32.556843,-13.753747,202032,Europe,1
50277,-51.097687,-17.122017,50277,Europe,1
15716,51.176743,24.17415,15716,Europe,1
2613,27.518541,40.802578,2613,Europe,1
15576,20.62309,-23.806297,15576,Europe,1
28859,4.116305,-23.679634,28859,Europe,1
41495,26.588335,40.530727,41495,Europe,1
34927,33.928337,43.154137,34927,Europe,1
6893,-17.5551,-11.580826,6893,Europe,1
59414,32.192535,-11.347772,59414,Europe,1
12333,40.30096,20.799147,12333,Europe,1
8271,30.063711,-9.618561,8271,Europe,1
39351,49.29958,44.59337,39351,Europe,1
8821,19.824987,-22.818329,8821,Europe,1
199811,-10.561374,-26.705256,199811,Europe,1
39616,-20.130838,-26.53201,39616,Europe,1
49642,-56.824806,-6.3777194,49642,Europe,1
56728,-48.03371,35.389713,56728,Europe,1
42346,-4.7312775,-34.20781,42346,Europe,1
9044,46.180664,19.793098,9044,Europe,1
34960,-9.119189,-26.094358,34960,Europe,1
41562,25.698984,-13.170104,41562,Europe,1
63473,-72.06489,-1.6167328,63473,North America,3
196621,-51.18681,37.40927,196621,Europe,1
21232,-17.806704,-27.769331,21232,Europe,1
51776,-60.878178,-10.232743,51776,Europe,1
31736,-66.95677,13.7236,31736,Europe,1
43127,-19.510523,-26.605497,43127,Europe,1
48971,21.657927,-21.661818,48971,Europe,1
6772,-17.00689,-26.395422,6772,Europe,1
25353,25.018578,-6.703013,25353,Europe,1
8302,8.119718,-38.924217,8302,Europe,1
34182,-64.997894,4.615222,34182,Europe,1
39910,-57.796604,-5.179198,39910,Europe,1
21040,-65.91786,34.175743,21040,Europe,1
12684,-34.02754,-16.61884,12684,Europe,1
48390,-67.723114,12.879526,48390,Europe,1
12307,-72.315056,11.902462,12307,Europe,1
21430,64.953,-4.5180073,21430,Europe,1
44489,66.50461,-5.8150353,44489,Europe,1
50348,43.195004,11.200456,50348,Europe,1
5610,64.11926,-4.0421076,5610,Europe,1
24806,42.704006,10.844492,24806,Europe,1
16019,63.57819,-5.106914,16019,Europe,1
25248,64.32231,-4.2027173,25248,Europe,1
31349,30.318375,-33.42785,31349,Europe,1
198657,-14.69425,-38.36501,198657,Europe,1
198725,14.328147,-15.2839775,198725,Europe,1
202872,43.613777,10.689343,202872,Europe,1
43709,28.891895,-33.14462,43709,Europe,1
35361,44.362194,14.270853,35361,Europe,1
31246,28.494051,-34.094707,31246,Europe,1
8251,29.6503,-34.87985,8251,Europe,1
198161,6.9438334,-35.127186,198161,Europe,1
30764,28.029224,-35.253597,30764,Europe,1
29134,65.485855,-3.5157049,29134,Europe,1
43541,-32.197002,-36.979954,43541,Europe,1
28905,43.203068,11.394526,28905,Europe,1
12570,23.671293,-26.864285,12570,Europe,1
2852,50.02706,27.595846,2852,Europe,1
47232,65.26606,-4.7578907,47232,Europe,1
25234,28.223297,-30.486778,25234,Europe,1
61110,-32.256542,-22.155645,61110,Europe,1
25512,64.28861,-3.8545022,25512,Europe,1
44002,-44.575787,-25.503372,44002,Europe,1
197046,24.226316,-33.27868,197046,Europe,1
206548,28.088228,-36.662174,206548,Europe,1
12767,63.80629,-0.73783624,12767,Europe,1
196687,62.23333,-3.432986,196687,Europe,1
15614,34.468704,-12.677946,15614,Europe,1
43413,26.825489,-31.523804,43413,Europe,1
24971,60.428436,26.54132,24971,Europe,1
52130,54.907845,-3.0079079,52130,Europe,1
204957,-32.673878,-36.953995,204957,Europe,1
50825,23.309893,-34.87222,50825,Europe,1
198167,26.365358,-28.257608,198167,Europe,1
208712,64.28302,-1.948433,208712,Europe,1
202618,24.684975,-33.7836,202618,Europe,1
48926,58.8314,26.841318,48926,Europe,1
56456,-32.29476,-22.161793,56456,Europe,1
13036,63.864483,-0.83895963,13036,Europe,1
208329,-15.731013,-39.889973,208329,Europe,1
208422,-67.81613,-1.1746868,208422,Europe,1
28725,66.591995,-2.4441917,28725,Europe,1
44424,4.378856,-34.117153,44424,Europe,1
42908,66.38364,-6.005062,42908,Europe,1
199298,68.39861,-5.499642,199298,Europe,1
42000,28.587748,-34.662354,42000,Europe,1
29321,27.273195,-35.702904,29321,Europe,1
57069,62.350643,-3.465569,57069,Europe,1
198977,63.674183,-3.3047333,198977,Europe,1
59970,-74.96841,13.259994,59970,Europe,1
34911,67.02966,-5.143803,34911,Europe,1
42306,67.15485,-5.4198008,42306,Europe,1
