,X,Y,ASN,Continent,Colors
327947,26.445288,44.135113,327947,Africa,2
38077,-41.58389,-11.945048,38077,,6
58475,-25.949585,-14.067266,58475,Asia,0
51018,63.474766,36.39737,51018,Asia,0
42642,19.488375,-16.29998,42642,Asia,0
11888,-21.829498,7.916708,11888,North America,3
50973,-3.0816817,-25.64756,50973,Europe,1
10094,11.232277,9.098414,10094,Asia,0
17451,0.9875627,-18.834808,17451,Asia,0
21183,14.943,-12.070949,21183,Europe,1
36236,27.721294,34.132015,36236,North America,3
2602,49.21478,36.93861,2602,Europe,1
49254,14.995105,-20.181286,49254,Asia,0
135132,24.819832,14.021985,135132,Asia,0
25431,26.73495,-26.434427,25431,Europe,1
3212,31.659536,-7.726441,3212,Europe,1
31012,32.411648,-5.948734,31012,Europe,1
204279,42.00944,25.798172,204279,Europe,1
21299,39.6991,-27.534706,21299,Asia,0
208520,20.743038,10.060909,208520,Asia,0
812,9.516562,14.727623,812,North America,3
12400,49.9011,19.555502,12400,Asia,0
37705,-12.260312,-10.110073,37705,Africa,2
7908,-23.287954,7.7156167,7908,South America,4
3221,14.577104,-40.903168,3221,Europe,1
6697,54.369423,17.988358,6697,Europe,1
8670,22.725641,49.25684,8670,Europe,1
24016,-43.222897,-15.741159,24016,Asia,0
24173,14.344291,34.702755,24173,Asia,0
33983,-7.943626,-40.320824,33983,Europe,1
1886,19.411127,-12.05071,1886,Europe,1
206610,54.990063,44.037083,206610,Europe,1
5379,22.366676,46.199295,5379,Europe,1
44558,10.573181,-12.491898,44558,Asia,0
24722,-30.581497,-48.56537,24722,Asia,0
3238,50.684723,11.625515,3238,Europe,1
9299,-3.6216693,-2.874148,9299,Asia,0
57675,8.05056,-42.020985,57675,Asia,0
55392,-10.743884,13.435877,55392,Asia,0
133802,20.856493,35.95328,133802,Asia,0
37282,2.073824,-17.272886,37282,Africa,2
6866,51.24466,20.678444,6866,Asia,0
16333,47.532112,18.824303,16333,Europe,1
47331,41.90476,27.718565,47331,Asia,0
12556,8.351176,0.689118,12556,Africa,2
328411,8.617337,-0.16791624,328411,Africa,2
21246,52.395157,29.455141,21246,Europe,1
45204,13.715563,35.2719,45204,Asia,0
39863,24.606148,-8.485247,39863,Asia,0
327798,21.571987,-2.5389395,327798,Africa,2
1680,52.600067,22.401123,1680,Asia,0
47956,-7.6715226,-18.804276,47956,Asia,0
12993,40.583218,-23.966692,12993,Europe,1
1237,-5.1422496,2.5127242,1237,Asia,0
16814,10.213089,28.835876,16814,South America,4
45906,-2.3995864,-0.41197303,45906,Asia,0
8053,-18.047989,-4.6504645,8053,South America,4
12426,2.9747274,-32.47913,12426,Europe,1
9930,13.714118,9.0117855,9930,Asia,0
27883,-23.958532,16.939806,27883,South America,4
25406,64.264755,14.391916,25406,Europe,1
38158,13.147694,26.003424,38158,Asia,0
24651,49.952526,12.644659,24651,Europe,1
3597,-18.662622,8.42829,3597,South America,4
12709,-3.893357,-38.229954,12709,Europe,1
34779,65.67561,36.14579,34779,Europe,1
34410,6.768428,-15.058653,34410,Europe,1
47794,30.256048,41.09764,47794,Asia,0
271885,-18.59774,8.733639,271885,North America,3
267797,-39.654827,1.4389863,267797,North America,3
8728,66.101326,25.659575,8728,Europe,1
47589,18.679386,-47.817493,47589,Asia,0
264744,-21.40685,24.249859,264744,South America,4
199103,42.53487,-28.834576,199103,Europe,1
23881,5.777613,14.451581,23881,Asia,0
39007,40.470566,-28.541079,39007,Europe,1
50195,3.4973743,-0.93703794,50195,Europe,1
9038,25.479097,20.887697,9038,Asia,0
10620,-55.186317,-15.89474,10620,South America,4
14754,6.8533206,6.4472704,14754,North America,3
9121,10.655423,-13.480018,9121,Asia,0
5538,48.999775,11.624551,5538,Europe,1
35805,9.342189,-40.540848,35805,Asia,0
45935,-51.485996,32.92406,45935,Oceania,5
15474,-11.481863,-40.138313,15474,Europe,1
47451,19.719988,-9.074662,47451,Europe,1
3327,63.852425,22.523123,3327,Europe,1
21277,41.869087,5.9045753,21277,Asia,0
37577,21.987036,42.012127,37577,Africa,2
43571,35.761383,26.214838,43571,Europe,1
21050,10.595362,25.089735,21050,Asia,0
42473,73.36483,23.710003,42473,Europe,1
47524,-4.6781626,-39.000813,47524,Asia,0
208905,-0.3717825,-16.179459,208905,Asia,0
5786,-9.534982,5.872539,5786,North America,3
62282,22.956049,-42.453728,62282,Europe,1
200590,-40.805054,-36.862736,200590,Asia,0
43019,-40.34475,-9.018135,43019,Asia,0
42298,-39.71241,-31.264412,42298,Asia,0
56588,14.244131,-32.871082,56588,Europe,1
199244,14.15608,-16.36191,199244,Europe,1
23862,-63.529743,13.117508,23862,Asia,0
12578,62.722404,16.223896,12578,Europe,1
6821,14.111372,-41.34062,6821,Europe,1
37693,-7.143442,-19.871904,37693,Africa,2
198183,26.860939,-23.489573,198183,Asia,0
51349,51.986603,6.278839,51349,Europe,1
12252,-27.942581,-11.7230835,12252,South America,4
55350,-20.576859,-3.5051441,55350,Asia,0
37090,7.7313943,4.9801884,37090,Africa,2
9534,12.490801,8.958994,9534,Asia,0
31204,32.853016,-4.7325025,31204,Europe,1
37420,-42.622635,-12.638469,37420,Africa,2
24691,25.942936,4.0674667,24691,Africa,2
15994,32.361828,-5.9920793,15994,Europe,1
37532,3.5504565,-12.924291,37532,Africa,2
49560,40.38865,-18.247158,49560,Europe,1
36924,28.850115,-11.949915,36924,Africa,2
37645,-47.506855,-8.11092,37645,Africa,2
6855,56.20497,7.22061,6855,Europe,1
20545,17.807705,-11.601421,20545,Asia,0
29286,-5.115553,-28.370785,29286,Europe,1
2470,1.569641,-22.278467,2470,,6
9119,4.25461,-24.826479,9119,Europe,1
15962,50.271305,23.198395,15962,Europe,1
25543,-0.91693443,0.9984814,25543,Africa,2
49800,65.877914,22.961634,49800,Asia,0
27901,15.246311,5.74305,27901,South America,4
55536,-3.2719274,-3.7092714,55536,Asia,0
133800,13.513698,34.066017,133800,Asia,0
42781,45.099697,15.946086,42781,Asia,0
12757,60.53323,15.331901,12757,Europe,1
1547,57.40372,30.442232,1547,Europe,1
263689,-30.551321,-10.597257,263689,North America,3
33582,-18.75526,-5.9824076,33582,North America,3
56055,6.8061523,30.927717,56055,Oceania,5
29385,-1.7915397,-5.307808,29385,Asia,0
36914,21.63549,-2.4178824,36914,Africa,2
56040,-7.577903,4.488265,56040,Asia,0
37100,25.67597,1.1834035,37100,Africa,2
27790,-18.963396,7.323224,27790,South America,4
42455,-13.6048,-18.082605,42455,Europe,1
197686,-26.744625,-46.88015,197686,Asia,0
2607,50.00668,27.262003,2607,Europe,1
17456,-8.526274,22.956507,17456,Oceania,5
4538,6.001274,24.357222,4538,Asia,0
196948,47.768852,14.15569,196948,Europe,1
18822,-5.212067,14.811477,18822,South America,4
9471,-25.946682,2.104331,9471,Oceania,5
17884,-62.795013,32.526363,17884,Asia,0
35328,26.435505,-27.005798,35328,Europe,1
42207,22.184233,47.23367,42207,Europe,1
8220,43.205933,29.694628,8220,Europe,1
3209,72.146454,30.018204,3209,Europe,1
55569,14.4364195,35.37171,55569,Europe,1
42409,49.126896,40.770123,42409,Europe,1
264811,4.446799,34.01138,264811,North America,3
64116,-23.176256,17.709154,64116,South America,4
201860,28.053862,-25.157404,201860,Asia,0
14117,-37.50818,-5.5659695,14117,South America,4
8661,34.052574,-2.7824523,8661,Europe,1
