ASN
400671
400587
396998
394414
328840
213392
212934
212855
212635
212123
212068
211722
211398
211024
210537
210532
210312
210152
210000
209861
209768
209198
209022
208627
208563
208548
208431
207960
207934
207616
207556
207036
205848
205479
205329
204867
204857
203635
203458
135063
64124
64073
62075
61138
59645
59238
58057
57777
57692
57050
56595
56457
55785
51519
50917
50842
50395
50391
50156
50058
48070
47787
47753
47251
46997
44854
44684
44393
44103
44097
43099
42541
39384
38008
34927
34854
34553
34549
34019
33891
33185
26457
25291
20326
13786
13058
12859
11232
9136
9002
8767
8473
8426
8283
8218
7195
7018
6830
6461
6140
2854
2848
2027
1403
1003
945
924
835
807
553
400442
400245
329029
264247
213234
213021
212625
212294
212270
212232
212154
212125
212120
212112
211869
211685
211579
211509
211360
211275
211153
210951
210925
210888
210667
210074
209718
209460
209419
208612
208171
207781
207740
207613
206924
206271
205531
205102
204994
204882
204446
204345
204003
203979
203868
203619
203333
203323
203314
203024
202952
202905
202776
202585
202573
201971
147016
142551
142280
142277
139317
136557
64445
62217
61423
60326
59715
57630
57406
56662
54041
52188
51392
51345
49752
48111
44570
35619
30999
25596
23428
16970
15562
14570
13009
9268
7480
3170
917
