loc,IPv,Y,X,AS_rank_continent,Colors,ASN
GLOBAL,4,1,-0.32422082714937517,North America,3,33161
GLOBAL,4,1,-0.41294306079160153,,4,15132
GLOBAL,4,1,-0.4250172657158588,North America,3,393702
GLOBAL,4,1,-0.4250172657158588,North America,3,398714
GLOBAL,4,1,-0.4250172657158588,North America,3,14411
GLOBAL,4,1,-0.4250172657158588,North America,3,20265
GLOBAL,4,1,-0.4250172657158588,North America,3,36178
GLOBAL,4,1,-0.4250172657158588,North America,3,396199
GLOBAL,4,1,-0.4250172657158588,North America,3,21619
GLOBAL,4,1,-0.4250172657158588,North America,3,397817
GLOBAL,4,1,-0.32422082714937517,North America,3,16914
GLOBAL,4,1,-0.3285817943921196,North America,3,46197
GLOBAL,4,1,-0.4250172657158588,North America,3,23087
GLOBAL,4,1,-0.3411509686774679,North America,3,394878
GLOBAL,4,1,-0.3411509686774679,North America,3,393599
GLOBAL,4,1,-0.4250172657158588,North America,3,32687
GLOBAL,4,1,-0.4250172657158588,North America,3,40607
GLOBAL,4,1,-0.4250172657158588,North America,3,40233
GLOBAL,4,1,-0.4250172657158588,North America,3,397762
GLOBAL,4,1,-0.4250172657158588,North America,3,395476
GLOBAL,4,1,-0.4250172657158588,North America,3,395149
GLOBAL,4,1,-0.4250172657158588,North America,3,23445
GLOBAL,4,1,-0.4250172657158588,North America,3,32129
GLOBAL,4,1,-0.4250172657158588,North America,3,397306
GLOBAL,4,1,-0.4250172657158588,North America,3,35858
GLOBAL,4,1,-0.4250172657158588,North America,3,393414
GLOBAL,4,1,-0.3411509686774679,North America,3,16782
GLOBAL,4,1,-0.4250172657158588,North America,3,16508
GLOBAL,4,1,-0.4250172657158588,North America,3,394763
GLOBAL,4,1,-0.4250172657158588,North America,3,40743
GLOBAL,4,1,-0.4250172657158588,North America,3,32140
GLOBAL,4,1,-0.4250172657158588,North America,3,54731
GLOBAL,4,1,-0.3411509686774679,North America,3,395069
GLOBAL,4,1,-0.3411509686774679,North America,3,62721
GLOBAL,4,1,-0.4250172657158588,North America,3,36059
GLOBAL,4,1,-0.3411509686774679,North America,3,394633
GLOBAL,4,1,-0.4250172657158588,North America,3,40404
GLOBAL,4,1,-0.4250172657158588,North America,3,20133
GLOBAL,4,1,-0.4250172657158588,North America,3,393896
GLOBAL,4,1,-0.4250172657158588,North America,3,13976
GLOBAL,4,1,-0.3411509686774679,North America,3,17349
GLOBAL,4,1,-0.4250172657158588,North America,3,23189
GLOBAL,4,1,-0.4250172657158588,North America,3,393255
GLOBAL,4,1,-0.3617461259863285,North America,3,21880
GLOBAL,4,1,-0.4250172657158588,North America,3,32486
GLOBAL,4,1,-0.4250172657158588,North America,3,53432
GLOBAL,4,1,-0.32422082714937517,North America,3,25823
GLOBAL,4,1,-0.4250172657158588,North America,3,20138
GLOBAL,4,1,-0.4250172657158588,North America,3,40506
GLOBAL,4,1,-0.4250172657158588,North America,3,40265
GLOBAL,4,1,-0.3411509686774679,North America,3,20242
GLOBAL,4,1,-0.4250172657158588,North America,3,20351
GLOBAL,4,1,-0.4250172657158588,North America,3,30442
GLOBAL,4,1,-0.3411509686774679,North America,3,54940
GLOBAL,4,1,-0.4250172657158588,North America,3,18824
GLOBAL,4,1,-0.39730938225874163,North America,3,393264
GLOBAL,4,1,-0.4250172657158588,North America,3,13719
GLOBAL,4,1,-0.4250172657158588,North America,3,33233
GLOBAL,4,1,-0.4250172657158588,North America,3,54273
GLOBAL,4,1,-0.4250172657158588,North America,3,19706
GLOBAL,4,1,-0.4250172657158588,North America,3,20358
GLOBAL,4,1,-0.4250172657158588,North America,3,27231
GLOBAL,4,1,-0.4250172657158588,North America,3,62951
GLOBAL,4,1,-0.4250172657158588,North America,3,36726
