,bias,links,comms
205148,0.09525451650607142,193.0,1166.0
205206,0.09737462993453239,479.0,12872.0
1403,0.09761478597380968,248.0,826.0
58280,0.10081474788838918,,
209650,0.101067256792442,424.0,9898.0
25152,0.10140966033609367,97.0,8912.0
16004,0.10229108809163279,,
57187,0.10272809897811097,,
40994,0.10316359203530467,877.0,2902.0
213151,0.10320585210679134,900.0,0.0
21360,0.10413651285630099,,
7018,0.10421872410508737,29.0,126.0
204708,0.10439512268634044,983.0,16439.0
58308,0.1057473447311219,463.0,20133.0
203929,0.10691988278899167,,
35332,0.10810875489519756,,
209102,0.10897991958140896,1010.0,0.0
263702,0.11004760478277031,173.0,8893.0
6798,0.11210119157338827,,
21336,0.11774021664880951,,
28571,0.11841633659632755,,
53070,0.11969294051181745,1840.0,15480.0
199324,0.12193706776786328,,
26415,0.12197422682160841,,
51786,0.12401154924470692,497.0,15982.0
48550,0.1251126077675746,210.0,12777.0
29449,0.12677150475206567,,
61218,0.12709057228348364,167.0,1874.0
13830,0.13012244121402006,93.0,348.0
58500,0.1325105002818905,,
52888,0.13251970119374512,,
51809,0.13411727913508198,,
6233,0.135168060244939,1505.0,22983.0
48919,0.13599029036410748,2785.0,12719.0
14630,0.1379967764276957,1448.0,25865.0
263508,0.14014295950888211,,
262757,0.1421202507510655,,
328575,0.14613212860663527,,
29504,0.14870911377200535,288.0,4594.0
328220,0.14950699202747053,,
3233,0.1523628587569048,,
11708,0.15496865153377115,193.0,0.0
133210,0.15912523423051717,757.0,20754.0
60557,0.16009977744428916,,
203574,0.1614116918599695,1745.0,1315.0
47251,0.16474871218565834,42.0,14574.0
271253,0.16752212862238824,4249.0,9403.0
208478,0.1686801878328703,149.0,15598.0
43733,0.17047878384790494,2215.0,0.0
328677,0.177603338142851,,
44393,0.18129278551941574,1042.0,7440.0
52814,0.18854860258425976,1889.0,25.0
5418,0.18874077768047393,,
21700,0.19258020091921235,117.0,4879.0
14026,0.19433169644573756,,
35360,0.19618777631633666,1035.0,25695.0
207564,0.19727230255828232,87.0,6061.0
328730,0.1974672784071707,,
57381,0.1980214350922438,320.0,293.0
328474,0.19848042115118147,1678.0,1784.0
208189,0.1985695265256826,,
16010,0.20119236264655171,,
57821,0.20147047877479007,696.0,133.0
38008,0.2040624748792519,29.0,4340.0
3856,0.2087824380995862,,
24880,0.2171348238487969,,
64116,0.21859509838115798,,
41617,0.22582404978575,,
28000,0.2261119546135948,,
328037,0.23314744669649112,,
31800,0.2346783915275763,,
56444,0.23557074451261428,,
265721,0.24036911148614948,150.0,0.0
5583,0.261727681879953,,
212635,0.30311492233972004,,
49134,0.3074616318030854,,
44097,0.30838144723865923,307.0,6.0
39821,0.31425461387286635,,
46997,0.3258568726538291,638.0,5556.0
132337,0.3293482801024483,,
48147,0.34116317426517995,,
25139,0.3425352993052799,,
20514,0.36538485920947217,574.0,3715.0
270014,0.37159029188638115,,
48292,0.3811148157739419,,
30892,0.3825767884021891,,
210312,0.3867009908721242,,
139009,0.4163021232269415,,
50384,0.4593198452784719,,
43100,0.46559453527819095,,
266309,0.4666221074262733,,
213045,0.4747833092674236,,
35619,0.47528206606528567,,
209833,0.4791369309904425,,
12401,0.4797245373922232,,
328206,0.48794739136108767,,
2027,0.5020845250389927,,
212123,0.5030458498738621,,
8298,0.5049989310525582,,
30132,0.5066985342525587,,
41666,0.5118765439913187,386.0,4201.0
56662,0.5323368954378127,,
205593,0.5331245357450776,,
140731,0.5391033147708058,,
140984,0.5395342635213796,,
211722,0.5430559798554446,,
37989,0.5512765035070144,946.0,1900.0
47422,0.5661775551998094,,
60082,0.5683074526279253,,
269956,0.5777759211549105,,
141011,0.5850087813764837,,
139589,0.5963848354419099,,
57463,0.6024616786442394,,
205488,0.6292541702815013,,
207841,0.6539229103595279,,
35708,0.7422682194822228,,
