ASN,Location bias,Network size bias,Topology bias,IXP related bias,Network type bias,RIR region,Customer cone (#ASNs),Customer cone (#prefixes),Location (country),#neighbors (total),Scope (PeeringDB),Network type (PeeringDB),Peering policy (PeeringDB),#IXPs (PeeringDB),#facilities (PeeringDB),is_in_peeringDB,is_ris_peer_v4,is_ris_peer_v6,is_routeviews_peer
41549,0.05,0.05,-0.03,-0.19,-0.06,RIPE,6.0,93.0,CH,24.0,Regional,Cable/DSL/ISP,Open,1.0,0.0,1.0,,,
41551,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,2.0,RU,2.0,,,,,,0.0,,,
41552,0.05,-0.01,0.06,0.0,0.03,RIPE,2.0,9.0,NL,141.0,Global,Content,Open,4.0,3.0,1.0,,,
41554,0.04,-0.05,0.02,0.0,-0.01,RIPE,1.0,4.0,RU,9.0,,,,,,0.0,,,
41555,0.05,-0.18,-0.03,0.0,-0.01,RIPE,1.0,2.0,CH,3.0,,,,,,0.0,,,
41556,0.04,-0.09,-0.07,0.0,-0.01,RIPE,2.0,3.0,RU,2.0,,,,,,0.0,,,
41557,0.04,0.05,-0.09,0.0,-0.01,RIPE,3.0,54.0,MK,4.0,,,,,,0.0,,,
399033,-0.13,-0.09,-0.12,0.0,-0.01,ARIN,1.0,2.0,US,2.0,,,,,,0.0,,,
41560,0.04,0.01,0.04,0.0,-0.01,RIPE,2.0,53.0,RU,17.0,,,,,,0.0,,,
41561,0.05,-0.09,-0.12,0.0,-0.01,RIPE,1.0,2.0,FI,2.0,,,,,,0.0,,,
41563,0.05,-0.05,-0.12,0.0,-0.01,RIPE,1.0,2.0,LV,2.0,,,,,,0.0,,,
41564,0.05,0.07,0.09,-0.19,-0.25,RIPE,10.0,856.0,SE,32.0,Not Disclosed,Network Services,Open,1.0,0.0,1.0,,,
399035,-0.1,-0.18,-0.03,0.0,-0.01,ARIN,1.0,2.0,CA,3.0,,,,,,0.0,,,
41566,0.04,-0.05,0.0,0.0,-0.01,RIPE,1.0,2.0,RU,6.0,,,,,,0.0,,,
41568,0.04,-0.05,-0.03,-0.19,-0.28,RIPE,2.0,5.0,UA,4.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
41569,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,ES,2.0,,,,,,0.0,,,
41570,0.05,-0.05,-0.12,0.0,-0.01,RIPE,1.0,4.0,GB,2.0,,,,,,0.0,,,
399036,-0.13,-0.18,-0.12,0.0,-0.01,ARIN,1.0,1.0,US,2.0,,,,,,0.0,,,
41573,0.03,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,RO,2.0,,,,,,0.0,,,
41575,0.04,-0.01,-0.03,0.0,-0.01,RIPE,1.0,6.0,RU,3.0,,,,,,0.0,,,
399037,-0.13,-0.18,-0.12,0.0,-0.01,ARIN,1.0,1.0,US,2.0,,,,,,0.0,,,
41578,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,RU,2.0,,,,,,0.0,,,
41580,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,PL,2.0,,,,,,0.0,,,
41583,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,UA,2.0,,,,,,0.0,,,
41584,0.05,-0.18,-0.07,0.0,-0.01,RIPE,1.0,1.0,SE,2.0,,,,,,0.0,,,
41586,0.04,-0.05,-0.12,0.0,-0.01,RIPE,1.0,6.0,UA,2.0,,,,,,0.0,,,
41587,0.05,-0.04,-0.12,0.0,-0.01,RIPE,1.0,2.0,DE,2.0,,,,,,0.0,,,
41590,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,CH,2.0,,,,,,0.0,,,
268783,-0.46,-0.18,-0.12,0.0,-0.01,LACNIC,1.0,1.0,BR,2.0,,,,,,0.0,,,
41596,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,GB,2.0,,,,,,0.0,,,
399041,-0.1,-0.09,-0.12,0.0,-0.01,ARIN,1.0,1.0,CA,2.0,,,,,,0.0,,,
399042,-0.13,-0.18,-0.12,0.0,-0.01,ARIN,1.0,1.0,US,2.0,,,,,,0.0,,,
268785,-0.46,-0.05,0.0,0.0,-0.01,LACNIC,1.0,5.0,BR,7.0,,,,,,0.0,,,
41606,0.05,0.0,0.03,-0.03,-0.04,RIPE,1.0,19.0,IT,31.0,Regional,Cable/DSL/ISP,Open,2.0,2.0,1.0,,,
41609,0.03,-0.05,-0.12,0.0,-0.01,RIPE,1.0,8.0,RO,2.0,,,,,,0.0,,,
41610,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,BG,2.0,,,,,,0.0,,,
41615,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,2.0,RU,2.0,,,,,,0.0,,,
41616,0.04,-0.04,-0.01,0.0,-0.01,RIPE,1.0,16.0,RU,5.0,,,,,,0.0,,,
41617,0.04,-0.18,-0.04,-0.19,-0.02,RIPE,1.0,1.0,RU,8.0,,Enterprise,Open,1.0,0.0,1.0,,,
41618,0.04,-0.18,-0.09,0.0,-0.01,RIPE,1.0,2.0,PL,3.0,,,,,,0.0,,,
41619,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,RU,2.0,,,,,,0.0,,,
268788,-0.46,-0.02,-0.04,-0.03,-0.06,LACNIC,2.0,31.0,BR,12.0,Regional,Cable/DSL/ISP,Open,2.0,2.0,1.0,,,
41622,0.05,-0.01,-0.12,0.0,-0.01,RIPE,1.0,4.0,CH,2.0,,,,,,0.0,,,
41623,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,CH,2.0,,,,,,0.0,,,
41624,0.04,-0.09,-0.02,0.0,-0.01,RIPE,1.0,2.0,BG,71.0,,,,,,0.0,,,
41625,-0.06,-0.05,0.01,0.0,-0.01,RIPE,1.0,6.0,US,9.0,,,,,,0.0,,,
399046,-0.13,-0.18,-0.12,0.0,-0.01,ARIN,1.0,2.0,US,2.0,,,,,,0.0,,,
41627,0.05,-0.01,-0.09,0.0,-0.01,RIPE,1.0,6.0,HU,3.0,,,,,,0.0,,,
41628,0.05,-0.09,-0.12,-0.1,0.04,RIPE,1.0,2.0,FR,2.0,Europe,Content,Open,1.0,3.0,1.0,,,
41631,0.04,-0.01,-0.03,0.0,-0.01,RIPE,1.0,7.0,UA,5.0,,,,,,0.0,,,
41632,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,CH,2.0,,,,,,0.0,,,
41634,0.05,-0.09,-0.04,0.0,-0.28,RIPE,1.0,3.0,SE,8.0,Not Disclosed,Not Disclosed,Open,5.0,2.0,1.0,,,
41635,0.03,-0.09,-0.09,0.0,-0.01,RIPE,2.0,2.0,RO,3.0,,,,,,0.0,,,
41639,0.04,-0.09,-0.12,0.0,-0.01,RIPE,1.0,2.0,RU,2.0,,,,,,0.0,,,
41640,0.04,-0.18,-0.07,0.0,-0.01,RIPE,1.0,2.0,SI,1.0,,,,,,0.0,,,
41643,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,PL,2.0,,,,,,0.0,,,
41644,0.05,-0.09,-0.01,-0.19,-0.01,RIPE,1.0,3.0,IT,5.0,Europe,Enterprise,Open,1.0,0.0,1.0,,,
41646,0.03,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,RO,2.0,,,,,,0.0,,,
41647,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,PL,2.0,,,,,,0.0,,,
41650,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,2.0,PL,2.0,,,,,,0.0,,,
41651,0.05,-0.18,-0.04,-0.12,-0.01,RIPE,1.0,2.0,IT,6.0,Europe,,Open,2.0,1.0,1.0,,,
41655,0.05,-0.09,-0.12,0.0,-0.01,RIPE,1.0,3.0,CH,2.0,,,,,,0.0,,,
41656,0.04,-0.18,-0.03,0.0,-0.01,RIPE,1.0,2.0,UA,4.0,,,,,,0.0,,,
399053,-0.13,-0.18,-0.12,0.0,-0.01,ARIN,1.0,1.0,US,2.0,,,,,,0.0,,,
41660,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,PL,2.0,,,,,,0.0,,,
399054,-0.13,-0.05,-0.12,0.0,-0.01,ARIN,1.0,4.0,US,2.0,,,,,,0.0,,,
41665,0.04,-0.01,-0.03,0.0,-0.01,RIPE,1.0,8.0,UA,3.0,,,,,,0.0,,,
41666,0.05,-0.18,-0.02,0.02,0.07,RIPE,1.0,1.0,FI,143.0,Regional,Educational/Research,Open,6.0,2.0,1.0,1.0,1.0,1.0
41667,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,RU,2.0,,,,,,0.0,,,
41669,0.01,-0.09,-0.03,0.0,-0.01,RIPE,1.0,3.0,KW,3.0,,,,,,0.0,,,
268798,-0.46,-0.09,-0.12,0.0,-0.01,LACNIC,1.0,2.0,BR,2.0,,,,,,0.0,,,
41678,0.05,0.0,0.03,0.02,0.02,RIPE,2.0,20.0,GB,37.0,Europe,Content,Open,4.0,4.0,1.0,,,
41679,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,LV,2.0,,,,,,0.0,,,
41680,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,IE,2.0,,,,,,0.0,,,
41688,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,RU,2.0,,,,,,0.0,,,
41689,0.01,0.07,-0.09,0.0,-0.01,RIPE,88.0,1439.0,IR,3.0,,,,,,0.0,,,
268802,-0.46,-0.09,-0.12,0.0,-0.01,LACNIC,1.0,3.0,BR,2.0,,,,,,0.0,,,
41692,0.04,0.05,0.06,0.04,0.03,RIPE,14.0,125.0,PL,76.0,Europe,NSP,Open,7.0,5.0,1.0,,,
41697,0.01,0.0,-0.03,0.0,-0.01,RIPE,2.0,28.0,CY,4.0,,,,,,0.0,,,
41698,0.05,-0.09,-0.12,0.0,-0.01,RIPE,1.0,3.0,DE,2.0,,,,,,0.0,,,
41699,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,DE,2.0,,,,,,0.0,,,
41700,0.05,-0.04,-0.12,-0.19,-0.28,RIPE,1.0,2.0,DE,2.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
41701,0.05,-0.01,-0.12,0.0,-0.01,RIPE,1.0,7.0,FI,2.0,,,,,,0.0,,,
41704,0.04,0.01,-0.12,-0.19,-0.28,RIPE,1.0,44.0,RU,2.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
41705,0.04,-0.05,-0.12,0.0,-0.01,RIPE,1.0,4.0,ES,2.0,,,,,,0.0,,,
41706,0.04,-0.09,-0.03,0.0,-0.01,RIPE,1.0,3.0,RU,3.0,,,,,,0.0,,,
41707,0.05,-0.05,0.0,0.0,-0.01,RIPE,1.0,11.0,DE,6.0,,,,,,0.0,,,
41708,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,PT,2.0,,,,,,0.0,,,
138547,-0.07,-0.68,-0.12,0.0,-0.01,APNIC,1.0,0.0,TH,2.0,,,,,,0.0,,,
41714,-0.0,0.01,-0.07,0.0,-0.01,RIPE,2.0,56.0,IL,2.0,,,,,,0.0,,,
41716,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,SI,2.0,,,,,,0.0,,,
41717,-0.02,0.0,0.02,-0.1,-0.04,RIPE,1.0,43.0,HK,15.0,Global,Enterprise,Open,1.0,2.0,1.0,,,
41718,0.04,-0.18,-0.12,-0.19,-0.28,RIPE,1.0,1.0,RU,2.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
41719,0.04,-0.05,-0.12,0.0,-0.01,RIPE,1.0,9.0,RU,2.0,,,,,,0.0,,,
41721,0.04,0.0,0.02,-0.09,-0.04,RIPE,1.0,33.0,ES,12.0,Regional,Enterprise,Open,1.0,4.0,1.0,,,
41723,0.05,-0.05,-0.03,-0.19,-0.28,RIPE,1.0,4.0,DE,3.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
41726,0.05,-0.18,-0.03,0.0,-0.01,RIPE,1.0,1.0,LV,3.0,,,,,,0.0,,,
268809,-0.46,-0.05,-0.09,-0.19,-0.2,LACNIC,2.0,11.0,BR,5.0,Regional,Cable/DSL/ISP,Open,1.0,0.0,1.0,,,
41728,0.05,-0.05,-0.12,0.0,-0.01,RIPE,1.0,6.0,FR,2.0,,,,,,0.0,,,
41729,0.05,-0.01,-0.03,0.0,-0.01,RIPE,1.0,11.0,NO,3.0,,,,,,0.0,,,
41730,0.04,-0.09,-0.03,0.0,-0.01,RIPE,1.0,3.0,BG,3.0,,,,,,0.0,,,
268810,-0.46,-0.05,-0.12,-0.12,-0.28,LACNIC,1.0,7.0,BR,2.0,Not Disclosed,Not Disclosed,,0.0,0.0,1.0,,,
41734,0.05,-0.05,-0.12,0.0,-0.01,RIPE,1.0,6.0,IT,2.0,,,,,,0.0,,,
41735,0.0,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,TR,2.0,,,,,,0.0,,,
268811,-0.46,-0.05,-0.03,-0.19,-0.04,LACNIC,1.0,4.0,BR,3.0,Regional,Cable/DSL/ISP,Open,0.0,0.0,1.0,,,
41740,0.04,-0.05,0.0,0.0,-0.01,RIPE,1.0,6.0,RU,6.0,,,,,,0.0,,,
41741,0.05,-0.09,-0.07,0.0,-0.01,RIPE,1.0,1.0,DK,2.0,,,,,,0.0,,,
268812,-0.46,-0.09,-0.12,0.0,-0.01,LACNIC,1.0,3.0,BR,2.0,,,,,,0.0,,,
41743,0.04,-0.09,0.02,0.0,-0.01,RIPE,1.0,3.0,RU,8.0,,,,,,0.0,,,
41748,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,2.0,RU,2.0,,,,,,0.0,,,
